"Estadillo","CoorX","CoorY","IDCounty","County","Municipality","IDMunicipality","ProtectedArea","ProtectionStatus","PublicForest","Ownership","BoundMarkers","LegaDemarcated"
255,369882,4733786,3406,"CERVERA","Castrejón de la Peña",34049,"","","Ojascal","E.L.M. de Roscales de la Peña","Sí","Sí"
259,353892,4732804,3405,"GUARDO","Respenda de la Peña",34151,"","","Pentinela y Valdemorata","E.L.M. de Fontecha","Sí","Sí"
260,369881,4732783,3406,"CERVERA","Castrejón de la Peña",34049,"","","Ojascal","E.L.M. de Roscales de la Peña","Sí","Sí"
267,354892,4730794,3405,"GUARDO","Respenda de la Peña",34151,"","","Pentinela y Valdemorata","E.L.M. de Fontecha","Sí","Sí"
277,370905,4729765,3403,"SALDAÑA-VALDAVIA","La Puebla de Valdavia",34140,"","","Indiviso","Ayto. de Congosto de Valdavia","No","No"
280,356902,4728782,3403,"SALDAÑA-VALDAVIA","Congosto de Valdavia",34062,"","","Valdemorata y Roscales","E.L.M. de Villanueva de Abajo","Sí","Sí"
281,357857,4728757,3403,"SALDAÑA-VALDAVIA","Congosto de Valdavia",34062,"","","Valdemorata y Roscales","E.L.M. de Villanueva de Abajo","Sí","Sí"
283,355888,4727755,3403,"SALDAÑA-VALDAVIA","Ayuela",34020,"","","Bascarrión","Ayto. de Tabanera de Valdavia,Ayto. de Ayuela,E.L.M. de Villasur","No","No"
290,367892,4727794,3403,"SALDAÑA-VALDAVIA","Congosto de Valdavia",34062,"","","","","",""
293,356886,4726774,3403,"SALDAÑA-VALDAVIA","Congosto de Valdavia",34062,"","","Valdemorata y Roscales","E.L.M. de Villanueva de Abajo","Sí","Sí"
295,358886,4726778,3403,"SALDAÑA-VALDAVIA","Congosto de Valdavia",34062,"","","Valdemorata y Roscales","E.L.M. de Villanueva de Abajo","Sí","Sí"
297,361863,4726789,3403,"SALDAÑA-VALDAVIA","Buenavista de Valdavia",34037,"","","Santa María de la Vega","E.L.M. de Cornoncillo","No","No"
298,362873,4726785,3403,"SALDAÑA-VALDAVIA","Buenavista de Valdavia",34037,"","","Rodiles","Ayto. de Buenavista de Valdavia","No","No"
301,355872,4725777,3403,"SALDAÑA-VALDAVIA","Ayuela",34020,"","","Bascarrión","Ayto. de Tabanera de Valdavia,Ayto. de Ayuela,E.L.M. de Villasur","No","No"
303,357880,4725784,3403,"SALDAÑA-VALDAVIA","Tabanera de Valdavia",34179,"","","Valdemorata y Roscales","E.L.M. de Villanueva de Abajo","Sí","Sí"
308,363877,4725797,3403,"SALDAÑA-VALDAVIA","Buenavista de Valdavia",34037,"","","Rodiles","Ayto. de Buenavista de Valdavia","No","No"
309,365914,4725803,3403,"SALDAÑA-VALDAVIA","La Puebla de Valdavia",34140,"","","Mayor","Ayto. de La Puebla de Valdavia","No","No"
310,369891,4725818,3403,"SALDAÑA-VALDAVIA","La Puebla de Valdavia",34140,"","","Valdemoro","Ayto. de La Puebla de Valdavia","Sí","Sí"
312,371910,4725776,3403,"SALDAÑA-VALDAVIA","Buenavista de Valdavia",34037,"","","Mayor","Ayto. de Buenavista de Valdavia","Sí","Sí"
314,379922,4741791,3406,"CERVERA","Dehesa de Montejo",34067,"","","Valdeur","E.L.M. de Dehesa de Montejo","No","No"
317,395892,4739813,3407,"AGUILAR","Aguilar de Campoo",34004,"","","El Castillo y La Serna","Ayto. de Aguilar de Campoo","Sí","Sí"
323,392897,4737784,3407,"AGUILAR","Aguilar de Campoo",34004,"","","Royal","Ayto. de Aguilar de Campoo","Sí","Sí"
324,393919,4737785,3407,"AGUILAR","Aguilar de Campoo",34004,"","","Royal","Ayto. de Aguilar de Campoo","Sí","Sí"
328,391892,4735793,3407,"AGUILAR","Aguilar de Campoo",34004,"","","Royal","Ayto. de Aguilar de Campoo","Sí","Sí"
329,393907,4735792,3407,"AGUILAR","Aguilar de Campoo",34004,"","","Mesa del Monte","E.L.M. de Lomilla de Aguilar","No","No"
331,377904,4734780,3404,"BOEDO-OJEDA","Olmos de Ojeda",34114,"","","Moyuelo","E.L.M. de Vega de Bur","No","No"
338,385903,4733807,3407,"AGUILAR","Aguilar de Campoo",34004,"","","Valdemensur","Ayto. de Aguilar de Campoo","No","No"
345,399933,4732794,3407,"AGUILAR","Aguilar de Campoo",34004,"Las Tuerces","Paisaje Protegido","Castillo de Gama","Ayto. de Aguilar de Campoo","No","No"
352,395886,4729801,3407,"AGUILAR","Aguilar de Campoo",34004,"","","","","",""
354,397911,4729768,3407,"AGUILAR","Aguilar de Campoo",34004,"","","","","",""
363,389904,4726785,3404,"BOEDO-OJEDA","Prádanos de Ojeda",34139,"","","El Carrascal","Ayto. de Prádanos de Ojeda","No","No"
365,391912,4726792,3404,"BOEDO-OJEDA","Alar del Rey",34005,"","","La Cabrera","E.L.M. de Nogales de Pisuerga","No","No"
368,376882,4725806,3404,"BOEDO-OJEDA","Collazos de Boedo",34061,"","","Abajo y Arriba","E.L.M. de Oteros de Boedo","No","No"
371,409896,4741812,3407,"AGUILAR","Pomar de Valdivia",34135,"","","Los Corros","E.L.M. de Lastrilla","No","No"
382,345937,4724840,3405,"GUARDO","Fresno del Río",34073,"","","El Soto","Ayto. de Fresno del Río","Sí","Sí"
384,345955,4723788,3403,"SALDAÑA-VALDAVIA","Pino del Río",34129,"","","Páramo del Oeste","E.L.M. de Pino del Rio","No","No"
386,345918,4722804,3403,"SALDAÑA-VALDAVIA","Villota del Páramo",34245,"","","Modorro","E.L.M. de Acera de la Vega","No","No"
398,347903,4719775,3403,"SALDAÑA-VALDAVIA","Villota del Páramo",34245,"","","Modorro","E.L.M. de Acera de la Vega","No","No"
402,344928,4717802,3403,"SALDAÑA-VALDAVIA","Villota del Páramo",34245,"","","","","",""
404,344906,4716775,3403,"SALDAÑA-VALDAVIA","Villota del Páramo",34245,"","","Páramo, Raigada y Sotillo","E.L.M. de San Andres de la Regla","No","No"
407,344905,4714759,3403,"SALDAÑA-VALDAVIA","Villota del Páramo",34245,"","","Páramo, Raigada y Sotillo","E.L.M. de San Andres de la Regla","No","No"
411,345899,4710808,3403,"SALDAÑA-VALDAVIA","Villota del Páramo",34245,"","","La Cerra","Ayto. de Villota del Páramo","Sí","Sí"
