"ID","Estadillo","PoligonoMFE","CoorX","CoorY","Altitud","ModComb","Orientacion","Pendiente","ExposicionN","RocosidN","TexturaN","RegBioN","MatOrgN","PhSueloN","TipoSuelo"
"34",213,21001944,345887,4728809,1110,11,250,5.5,"Todos los vientos","Poco pedregoso","Textura arcillosa","Mediterránea","Poco humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"35",215,3713204,347873,4728789,1100,11,325,1,"Todos los vientos","Poco pedregoso","Textura franca","Mediterránea","Poco humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"36",217,3941140,346936,4727784,1115,7,300,0.25,"Todos los vientos","Poco pedregoso","Textura franca","Mediterránea","Poco humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"37",219,21001943,344871,4726777,1094,11,270,1.25,"Todos los vientos","Poco pedregoso","Textura franca","Mediterránea","Poco humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"38",227,3684457,373885,4739823,1103,5,285,6.5,"Umbría","Sin pedregosidad","Textura franca","Mediterránea","Muy humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"39",229,3689231,361861,4737796,1121,5,225,2.5,"Solana","Poco pedregoso","Textura franca","Mediterránea","Poco humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"40",234,3690822,357904,4735777,1137,9,345,4,"Solana","Poco pedregoso","Textura franca","Mediterránea","Poco humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"41",236,3690508,359901,4735801,1124,5,355,3.5,"Umbría","Poco pedregoso","Textura franca","Mediterránea","Poco humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"42",241,3696222,352865,4734813,1154,5,125,1,"Todos los vientos","Poco pedregoso","Textura franca","Mediterránea","Moderadamente humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"43",242,3696225,353876,4734814,1161,5,340,0.25,"Todos los vientos","Poco pedregoso","Textura franca","Mediterránea","Moderadamente humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"44",250,3696222,352892,4733753,1154,7,260,1,"Todos los vientos","Poco pedregoso","Textura franca","Mediterránea","Poco humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"45",252,3690564,359878,4733793,1127,9,15,0.5,"Todos los vientos","Poco pedregoso","Textura arcillosa","Mediterránea","Poco humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"46",255,3687980,369882,4733786,1082,5,30,3.5,"Todos los vientos","Sin pedregosidad","Textura franca","Mediterránea","Moderadamente humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"47",259,3696180,353892,4732804,1149,7,220,0.25,"Todos los vientos","Poco pedregoso","Textura franca","Mediterránea","Poco humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"48",260,3717449,369881,4732783,1068,5,76,6.5,"Solana","Poco pedregoso","Textura franca","Mediterránea","Moderadamente humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"49",267,3695202,354892,4730794,1132,7,360,0.25,"Todos los vientos","Poco pedregoso","Textura franca","Mediterránea","Poco humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"50",277,3686960,370905,4729765,1066,5,50,6.5,"Todos los vientos","Poco pedregoso","Textura franca","Mediterránea","Moderadamente humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"51",280,3695185,356902,4728782,1107,11,165,0.25,"Todos los vientos","Poco pedregoso","Textura franca","Mediterránea","Poco humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"52",281,3695152,357857,4728757,1099,7,80,2.5,"Solana","Poco pedregoso","Textura franca","Mediterránea","Moderadamente humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"53",283,3695111,355888,4727755,1059,5,305,1.75,"Todos los vientos","Poco pedregoso","Textura franca","Mediterránea","Poco humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"54",290,3710621,367892,4727794,980,6,235,1.5,"Todos los vientos","Poco pedregoso","Textura arenosa","Mediterránea","Moderadamente humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"55",293,3696344,356886,4726774,1072,7,240,5.5,"Solana","Poco pedregoso","Textura arenosa","Mediterránea","Poco humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"56",295,3695182,358886,4726778,1044,7,250,4.5,"Umbría","Poco pedregoso","Textura franca","Mediterránea","Moderadamente humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"57",297,3693081,361863,4726789,1018,6,360,7.5,"Solana","Poco pedregoso","Textura franca","Mediterránea","Poco humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"58",298,3691850,362873,4726785,1071,6,35,1,"Todos los vientos","Poco pedregoso","Textura arenosa","Mediterránea","Poco humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"59",301,3695081,355872,4725777,1087,7,160,0.25,"Todos los vientos","Poco pedregoso","Textura franca","Mediterránea","Poco humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"60",303,3670032,357880,4725784,1022,7,343,0.5,"Todos los vientos","Poco pedregoso","Textura franca","Mediterránea","Poco humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"61",308,3691848,363877,4725797,1030,5,20,3,"Umbría","Poco pedregoso","Textura franca","Mediterránea","Poco humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"62",309,3691846,365914,4725803,984,6,146,4,"Todos los vientos","Poco pedregoso","Textura franca","Mediterránea","Moderadamente humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"63",310,3697514,369891,4725818,1002,5,341,6,"Solana","Sin pedregosidad","Textura franca","Mediterránea","Moderadamente humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"64",312,3694037,371910,4725776,1071,5,329,0.25,"Todos los vientos","Sin pedregosidad","Textura franca","Mediterránea","Moderadamente humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"65",314,3715036,379922,4741791,1169,5,363,4.75,"Solana","Sin pedregosidad","Textura franca","Mediterránea","Poco humífero","Moderadamente ácido (5>pH<6)","Suelo calizo"
"66",317,3689403,395892,4739813,974,8,325,2.5,"Solana","Sin pedregosidad","Textura franca","Mediterránea","Moderadamente humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"67",323,3697399,392897,4737784,944,8,38,2,"Todos los vientos","Sin pedregosidad","Textura arenosa","Mediterránea","Moderadamente humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"68",324,3697392,393919,4737785,949,9,172,2.5,"Solana","Sin pedregosidad","Textura arenosa","Mediterránea","Moderadamente humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"69",328,3697556,391892,4735793,1000,4,180,4,"Umbría","Poco pedregoso","Textura franca","Mediterránea","Muy humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"70",329,3700888,393907,4735792,951,5,8,12.25,"Solana","Pedregosos","Textura franca","Mediterránea","Moderadamente humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"71",331,3716764,377904,4734780,1092,5,166,3.25,"Umbría","Sin pedregosidad","Textura franca","Mediterránea","Moderadamente humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"72",338,3711470,385903,4733807,1012,6,103,5,"Solana","Pedregosos","Textura arcillosa","Mediterránea","Moderadamente humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"73",345,3690728,399933,4732794,1041,5,42,2,"Solana","Poco pedregoso","Textura franca","Mediterránea","Moderadamente humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"74",352,3693962,395886,4729801,912,5,277,6.25,"Solana","Sin pedregosidad","Textura franca","Mediterránea","Moderadamente humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
"75",354,3693124,397911,4729768,940,5,355,4.75,"Umbría","Sin pedregosidad","Textura arcillosa","Mediterránea","Moderadamente humífero","Moderadamente ácido (5>pH<6)","Suelo calizo"
"76",363,3694290,389904,4726785,969,8,193,1.25,"Todos los vientos","Sin pedregosidad","Textura franca","Mediterránea","Moderadamente humífero","Moderadamente ácido (5>pH<6)","Suelo silíceo"
