"ID","Estadillo","Especie","Fcc_IFN2","Hm_IFN2","Fcc_IFN3","Hm_IFN3","Fcc_IFN4","Hm_IFN4"
"616",454,8101,NA,NA,NA,NA,5,16
"617",458,106,NA,NA,7,5,6,4
"618",461,102,NA,NA,15,2,24,2
"619",461,106,60,3,40,4,28,4
"620",461,107,20,1,5,2,NA,NA
"621",461,136,NA,NA,10,3,4,2
"622",465,102,NA,NA,NA,NA,3,1
"623",465,106,10,5,2,2,2,1
"624",465,119,NA,NA,5,15,3,16
"625",472,106,20,3,10,3,6,3
"626",472,117,NA,NA,NA,NA,5,3
"627",472,4104,NA,NA,5,4,6,4
"628",475,102,NA,NA,15,1,6,1
"629",475,106,30,4,5,2,14,2
"630",475,4104,NA,NA,2,5,3,4
"631",478,106,10,1,5,4,4,4
"632",478,136,NA,NA,5,2,6,3
"633",478,5102,NA,NA,30,2,28,2
"634",479,106,30,4,5,5,10,4
"635",479,107,10,1,NA,NA,4,1
"636",479,5102,NA,NA,30,2,38,2
"637",486,101,5,10,NA,NA,NA,NA
"638",486,106,10,3,10,4,8,4
"639",486,5102,NA,NA,10,3,6,2
"640",486,8101,NA,NA,NA,NA,5,8
"641",490,101,1,10,NA,NA,NA,NA
"642",490,102,5,2,NA,NA,NA,NA
"643",490,104,5,3,NA,NA,NA,NA
"644",490,106,5,6,30,3,10,4
"645",490,112,20,10,5,10,8,9
"646",490,117,1,1,NA,NA,NA,NA
"647",490,119,20,30,20,16,8,17
"648",490,1110,NA,NA,5,2,3,2
"649",490,3144,NA,NA,15,12,8,10
"650",490,8101,NA,NA,3,7,NA,NA
"651",495,102,10,1,25,1,15,1
"652",495,103,10,6,NA,NA,NA,NA
"653",495,106,10,4,5,2,7,3
"654",495,4104,NA,NA,2,2,4,16
"655",499,102,20,3,35,1,NA,NA
"656",499,106,40,7,20,3,20,4
"657",499,127,1,4,NA,NA,NA,NA
"658",499,129,5,1,NA,NA,NA,NA
"659",499,5102,NA,NA,NA,NA,35,1
"660",504,103,10,5,NA,NA,NA,NA
"661",504,104,10,3,NA,NA,NA,NA
"662",504,106,1,4,2,2,5,3
"663",508,101,50,12,15,5,NA,NA
"664",508,102,10,3,5,5,12,1
"665",508,104,5,2,NA,NA,NA,NA
"666",508,106,10,7,NA,NA,NA,NA
"667",508,119,1,4,NA,NA,NA,NA
"668",508,8101,NA,NA,NA,NA,3,3
"669",514,101,60,17,NA,NA,NA,NA
"670",514,102,5,2,3,6,3,1
"671",514,104,5,2,NA,NA,NA,NA
"672",514,106,10,6,5,5,3,2
"673",514,119,NA,NA,NA,NA,3,3
"674",514,127,5,3,NA,NA,NA,NA
"675",514,2128,NA,NA,NA,NA,2,1
"676",514,8101,NA,NA,60,16,23,5
"677",527,102,15,2,15,2,20,2
"678",527,106,5,3,5,3,NA,NA
"679",527,119,1,2,NA,NA,NA,NA
"680",527,5102,NA,NA,NA,NA,15,2
"681",528,102,10,2,NA,NA,15,3
"682",528,106,15,3,10,4,25,4
"683",528,119,5,4,3,10,4,15
"684",528,5101,NA,NA,10,3,NA,NA
"685",530,101,10,9,NA,NA,NA,NA
"686",530,102,40,2,NA,NA,6,2
"687",530,104,5,2,NA,NA,NA,NA
"688",530,106,10,4,1,2,NA,NA
"689",530,117,NA,NA,NA,NA,4,2
"690",530,6102,NA,NA,5,3,NA,NA
"691",530,8101,NA,NA,1,2,2,4
"692",532,106,70,4,20,5,20,5
"693",532,107,30,1,40,2,20,1
"694",532,117,NA,NA,NA,NA,2,2
"695",532,136,NA,NA,3,3,NA,NA
"696",532,5102,NA,NA,10,2,20,2
"697",532,6102,NA,NA,5,3,NA,NA
"698",534,101,55,9,NA,NA,NA,NA
"699",534,102,10,2,20,5,14,2
"700",534,106,20,3,NA,NA,4,2
"701",534,107,10,1,NA,NA,NA,NA
"702",534,8101,NA,NA,NA,NA,8,11
"703",536,102,35,2,NA,NA,10,1
"704",536,106,70,4,20,5,25,3
"705",536,136,NA,NA,1,3,NA,NA
"706",536,155,NA,NA,1,3,NA,NA
"707",536,2156,NA,NA,NA,NA,1,3
"708",536,5102,NA,NA,10,3,30,2
"709",537,102,30,2,NA,NA,40,2
"710",537,106,25,4,30,4,20,3
"711",537,155,NA,NA,2,4,NA,NA
"712",537,2156,NA,NA,NA,NA,2,3
"713",537,5102,NA,NA,60,1,NA,NA
"714",539,101,55,10,NA,NA,NA,NA
"715",539,102,15,2,NA,NA,NA,NA
"716",539,103,10,3,NA,NA,NA,NA
"717",539,106,25,4,15,4,12,4
"718",539,107,10,1,NA,NA,NA,NA
"719",539,136,NA,NA,10,2,NA,NA
"720",539,5102,NA,NA,15,2,12,2
"721",539,8101,NA,NA,1,5,7,10
"722",542,102,60,2,NA,NA,NA,NA
"723",542,103,10,5,NA,NA,NA,NA
"724",542,106,50,4,40,3,18,4
"725",542,136,NA,NA,NA,NA,7,3
"726",542,5102,NA,NA,15,2,30,2
"727",549,102,NA,NA,20,5,5,3
"728",549,103,50,2,NA,NA,NA,NA
"729",549,106,30,4,15,5,20,3
"730",549,5102,NA,NA,NA,NA,35,3
"731",553,101,30,12,NA,NA,NA,NA
"732",553,102,NA,NA,NA,NA,2,1
"733",553,103,20,5,NA,NA,NA,NA
"734",553,106,20,5,5,3,4,3
"735",553,119,NA,NA,NA,NA,3,14
"736",553,121,NA,NA,15,12,7,12
"737",553,129,20,15,NA,NA,NA,NA
"738",553,8101,NA,NA,15,15,10,1
"739",555,101,70,10,NA,NA,NA,NA
"740",555,102,NA,NA,NA,NA,4,1
"741",555,103,35,8,70,10,NA,NA
"742",555,109,NA,NA,2,4,4,3
"743",555,119,5,19,2,19,3,17
"744",555,129,NA,NA,5,2,NA,NA
"745",555,144,NA,NA,NA,NA,16,10
"746",555,155,NA,NA,NA,NA,6,9
"747",555,8101,NA,NA,25,16,14,13
"748",557,101,30,10,NA,NA,NA,NA
"749",557,103,20,6,NA,NA,NA,NA
"750",557,106,10,4,10,5,5,4
"751",557,109,NA,NA,5,4,11,3
"752",557,117,NA,NA,NA,NA,2,2
"753",557,119,NA,NA,2,12,3,9
"754",557,129,60,1,8,2,5,1
"755",557,144,NA,NA,NA,NA,3,4
"756",557,1103,NA,NA,10,5,8,10
"757",557,4104,NA,NA,NA,NA,10,14
"758",557,8101,NA,NA,10,10,55,11
"759",576,109,NA,NA,NA,NA,6,1
"760",578,119,NA,NA,3,13,NA,NA
"761",581,106,5,4,5,5,NA,NA
"762",581,126,NA,NA,NA,NA,5,3
"763",599,103,4,3,NA,NA,NA,NA
"764",599,106,2,2,NA,NA,NA,NA
"765",599,109,NA,NA,5,4,NA,NA
"766",599,119,4,2,3,8,NA,NA
"767",599,129,NA,NA,15,2,NA,NA
"768",599,4104,NA,NA,5,5,2,5
"769",602,102,10,3,NA,NA,NA,NA
"770",602,119,NA,NA,NA,NA,2,2
"771",602,129,NA,NA,10,2,NA,NA
"772",623,106,NA,NA,1,3,3,8
"773",623,109,NA,NA,NA,NA,4,3
"774",623,129,NA,NA,NA,NA,4,2
"775",623,4101,NA,NA,NA,NA,1,3
"776",627,2103,NA,NA,NA,NA,3,4
