"ID","Estadillo","Especie","Fcc_IFN2","Hm_IFN2","Fcc_IFN3","Hm_IFN3","Fcc_IFN4","Hm_IFN4"
"140",175,115,5,15,3,22,1,22
"141",175,119,30,15,30,20,25,20
"142",175,121,NA,NA,5,10,2,10
"143",175,129,NA,NA,20,1,20,1
"144",175,131,NA,NA,3,8,1,8
"145",175,144,NA,NA,5,18,5,2
"146",175,182,NA,NA,NA,NA,2,2
"147",175,4103,NA,NA,20,20,25,15
"148",175,4104,NA,NA,10,5,NA,NA
"149",181,102,30,2,25,2,50,2
"150",181,103,40,8,NA,NA,NA,NA
"151",181,119,15,3,5,7,2,6
"152",181,121,NA,NA,7,2,1,4
"153",181,122,10,4,NA,NA,NA,NA
"154",181,144,NA,NA,7,12,5,3
"155",181,2110,NA,NA,5,2,5,2
"156",181,4103,NA,NA,10,12,10,12
"157",184,102,10,5,7,3,15,2
"158",184,106,70,3,3,2,8,4
"159",184,120,NA,NA,3,2,3,2
"160",184,137,NA,NA,5,2,8,2
"161",184,144,NA,NA,NA,NA,1,2
"162",184,1102,NA,NA,NA,NA,9,25
"163",184,1167,NA,NA,NA,NA,3,12
"164",184,2102,NA,NA,7,20,NA,NA
"165",190,102,20,2,NA,NA,5,2
"166",190,104,60,3,NA,NA,NA,NA
"167",190,119,NA,NA,2,18,2,15
"168",190,182,NA,NA,NA,NA,2,2
"169",190,1103,NA,NA,NA,NA,85,6
"170",190,2950,NA,NA,NA,NA,5,12
"171",190,3155,NA,NA,25,3,5,9
"172",193,102,5,7,NA,NA,NA,NA
"173",193,103,10,16,NA,NA,NA,NA
"174",193,121,NA,NA,5,4,4,1
"175",193,127,5,5,NA,NA,NA,NA
"176",193,1102,NA,NA,3,3,NA,NA
"177",193,4104,NA,NA,NA,NA,7,6
"178",194,102,10,6,NA,NA,NA,NA
"179",194,103,15,16,NA,NA,NA,NA
"180",194,137,NA,NA,10,2,NA,NA
"181",200,102,60,10,2,1,5,2
"182",200,103,10,4,NA,NA,NA,NA
"183",200,106,NA,NA,NA,NA,2,5
"184",200,117,5,3,2,1,10,3
"185",200,136,NA,NA,10,3,1,2
"186",200,2102,NA,NA,45,13,NA,NA
"187",203,102,5,8,NA,NA,NA,NA
"188",203,106,NA,NA,2,1,1,1
"189",203,117,NA,NA,3,1,4,3
"190",203,136,NA,NA,2,1,2,3
"191",203,2102,NA,NA,5,1,3,5
"192",205,102,30,8,5,3,4,4
"193",205,103,10,3,NA,NA,NA,NA
"194",205,106,NA,NA,2,2,2,2
"195",205,107,NA,NA,NA,NA,1,1
"196",205,117,NA,NA,5,2,2,2
"197",205,136,NA,NA,2,3,1,2
"198",211,102,20,10,NA,NA,NA,NA
"199",211,104,10,4,5,13,NA,NA
"200",211,106,15,4,20,3,6,3
"201",211,117,5,3,10,5,7,4
"202",211,136,NA,NA,1,8,3,4
"203",211,2102,NA,NA,15,10,3,14
"204",211,2103,NA,NA,NA,NA,2,3
"205",211,4104,NA,NA,NA,NA,7,7
"206",211,5102,NA,NA,NA,NA,5,1
"207",213,102,50,8,NA,NA,15,2
"208",213,104,10,4,NA,NA,NA,NA
"209",213,106,5,4,20,6,12,5
"210",213,107,10,1,5,1,6,1
"211",213,117,5,3,5,2,7,3
"212",213,136,NA,NA,10,2,6,1
"213",213,2102,NA,NA,40,15,30,14
"214",215,102,40,13,7,1,3,4
"215",215,103,10,5,NA,NA,NA,NA
"216",215,106,10,5,5,4,1,2
"217",215,117,5,3,5,2,4,1
"218",215,136,NA,NA,5,2,NA,NA
"219",215,2102,NA,NA,35,12,NA,NA
"220",217,102,50,12,NA,NA,NA,NA
"221",217,104,5,3,NA,NA,NA,NA
"222",217,106,10,2,10,4,4,4
"223",217,107,5,2,5,1,NA,NA
"224",217,117,10,3,10,1,10,2
"225",217,136,NA,NA,10,2,8,3
"226",217,2102,NA,NA,50,15,40,14
"227",219,102,40,6,NA,NA,NA,NA
"228",219,104,5,3,NA,NA,NA,NA
"229",219,106,40,6,20,7,15,3
"230",219,117,NA,NA,3,1,NA,NA
"231",219,136,NA,NA,10,3,7,3
"232",219,2102,NA,NA,45,10,15,5
"233",227,102,10,15,15,3,NA,NA
"234",227,137,NA,NA,NA,NA,1,2
"235",227,144,NA,NA,5,20,1,8
"236",227,300,NA,NA,NA,NA,5,18
"237",227,1102,NA,NA,10,12,9,17
"238",227,4104,NA,NA,5,18,5,12
"239",227,8102,NA,NA,NA,NA,14,3
"240",229,102,40,3,40,2,65,2
"241",229,106,10,3,10,3,6,3
"242",229,119,5,7,5,10,NA,NA
"243",234,102,35,3,30,2,NA,NA
"244",234,106,15,2,15,2,NA,NA
"245",234,119,5,5,5,10,7,10
