"ID","Estadillo","Especie","PosEspIFN2","OcupaIFN2","EstadoIFN2","PosEspIFN3","OcupaIFN3","EstadoIFN3","EdadIFN3","OrgMasaIFN3","PosEspIFN4","OcupaIFN4","EstadoIFN4","EdadIFN4","OrgMasaIFN4","IFN2Num_arb","IFN3Num_arb","IFN4Num_arb","CatRegIFN2","CatRegIFN3","CatRegIFN4"
"853",407,"25",1,"5","1",2,40,3,30,2,2,40,4,0,2,8,15,14,NA,NA,1
"854",407,"25",1,"5","1",2,40,3,30,2,2,40,4,0,2,8,15,14,NA,NA,2
"855",407,"25",2,"5","3",2,40,3,30,2,2,40,4,0,2,8,15,14,NA,NA,1
"856",407,"25",2,"5","3",2,40,3,30,2,2,40,4,0,2,8,15,14,NA,NA,2
"857",411,"43",NA,NA,NA,3,20,2,0,1,3,30,2,0,1,NA,NA,NA,3,4,4
"858",411,"43",NA,NA,NA,3,20,2,0,1,3,30,2,0,1,NA,NA,NA,3,2,1
"859",411,"43",NA,NA,NA,3,20,2,0,1,3,30,2,0,1,NA,NA,NA,3,4,1
"860",411,"43",NA,NA,NA,3,20,2,0,1,3,30,2,0,1,NA,NA,NA,3,2,2
"861",411,"43",NA,NA,NA,3,20,2,0,1,3,30,2,0,1,NA,NA,NA,3,1,2
"862",411,"43",NA,NA,NA,3,20,2,0,1,3,30,2,0,1,NA,NA,NA,3,1,1
"863",411,"43",NA,NA,NA,3,20,2,0,1,3,30,2,0,1,NA,NA,NA,3,2,4
"864",411,"43",NA,NA,NA,3,20,2,0,1,3,30,2,0,1,NA,NA,NA,3,3,2
"865",411,"43",NA,NA,NA,3,20,2,0,1,3,30,2,0,1,NA,NA,NA,3,3,1
"866",411,"43",NA,NA,NA,3,20,2,0,1,3,30,2,0,1,NA,NA,NA,3,1,4
"867",411,"43",NA,NA,NA,3,20,2,0,1,3,30,2,0,1,NA,NA,NA,3,4,2
"868",411,"43",NA,NA,NA,3,20,2,0,1,3,30,2,0,1,NA,NA,NA,3,3,4
"869",412,"25",2,"8","2",1,80,3,0,2,1,80,3,0,2,1,18,29,1,NA,NA
"870",412,"25",1,"6","1",1,80,3,0,2,1,80,3,0,2,1,18,29,1,NA,NA
"871",412,"43",NA,NA,NA,3,10,2,0,1,3,10,2,0,1,NA,NA,NA,3,2,2
"872",412,"43",NA,NA,NA,3,10,2,0,1,3,10,2,0,1,NA,NA,NA,3,2,1
"873",412,"43",NA,NA,NA,3,10,2,0,1,3,10,2,0,1,NA,NA,NA,3,2,3
"874",412,"43",NA,NA,NA,3,10,2,0,1,3,10,2,0,1,NA,NA,NA,3,1,3
"875",412,"43",NA,NA,NA,3,10,2,0,1,3,10,2,0,1,NA,NA,NA,3,1,2
"876",412,"43",NA,NA,NA,3,10,2,0,1,3,10,2,0,1,NA,NA,NA,3,1,1
"877",418,"21",1,"4","2",2,30,3,30,2,2,20,4,0,2,2,7,2,0,NA,NA
"878",418,"25",2,"7","2",1,70,3,30,2,1,70,4,0,2,8,37,27,0,4,1
"879",418,"25",2,"7","2",1,70,3,30,2,1,70,4,0,2,8,37,27,0,3,1
"880",418,"25",2,"7","2",1,70,3,30,2,1,70,4,0,2,8,37,27,0,4,2
"881",418,"25",2,"7","2",1,70,3,30,2,1,70,4,0,2,8,37,27,0,3,2
"882",418,"43",NA,NA,NA,NA,NA,NA,NA,NA,3,10,2,0,1,NA,NA,NA,NA,2,2
"883",418,"43",NA,NA,NA,NA,NA,NA,NA,NA,3,10,2,0,1,NA,NA,NA,NA,1,1
"884",418,"43",NA,NA,NA,NA,NA,NA,NA,NA,3,10,2,0,1,NA,NA,NA,NA,2,3
"885",418,"43",NA,NA,NA,NA,NA,NA,NA,NA,3,10,2,0,1,NA,NA,NA,NA,2,1
"886",418,"43",NA,NA,NA,NA,NA,NA,NA,NA,3,10,2,0,1,NA,NA,NA,NA,1,2
"887",418,"43",NA,NA,NA,NA,NA,NA,NA,NA,3,10,2,0,1,NA,NA,NA,NA,1,3
"888",424,"25",2,"8","2",1,70,3,25,2,1,80,4,0,2,8,12,21,0,NA,NA
"889",424,"43",NA,NA,NA,2,30,3,0,1,2,20,2,0,1,NA,NA,1,3,1,1
"890",424,"43",NA,NA,NA,2,30,3,0,1,2,20,2,0,1,NA,NA,1,3,3,4
"891",424,"43",NA,NA,NA,2,30,3,0,1,2,20,2,0,1,NA,NA,1,3,4,3
"892",424,"43",NA,NA,NA,2,30,3,0,1,2,20,2,0,1,NA,NA,1,3,2,2
"893",424,"43",NA,NA,NA,2,30,3,0,1,2,20,2,0,1,NA,NA,1,3,4,1
"894",424,"43",NA,NA,NA,2,30,3,0,1,2,20,2,0,1,NA,NA,1,3,3,1
"895",424,"43",NA,NA,NA,2,30,3,0,1,2,20,2,0,1,NA,NA,1,3,2,4
"896",424,"43",NA,NA,NA,2,30,3,0,1,2,20,2,0,1,NA,NA,1,3,2,3
"897",424,"43",NA,NA,NA,2,30,3,0,1,2,20,2,0,1,NA,NA,1,3,3,3
"898",424,"43",NA,NA,NA,2,30,3,0,1,2,20,2,0,1,NA,NA,1,3,1,2
"899",424,"43",NA,NA,NA,2,30,3,0,1,2,20,2,0,1,NA,NA,1,3,3,2
"900",424,"43",NA,NA,NA,2,30,3,0,1,2,20,2,0,1,NA,NA,1,3,4,2
"901",424,"43",NA,NA,NA,2,30,3,0,1,2,20,2,0,1,NA,NA,1,3,1,4
"902",424,"43",NA,NA,NA,2,30,3,0,1,2,20,2,0,1,NA,NA,1,3,1,3
"903",424,"43",NA,NA,NA,2,30,3,0,1,2,20,2,0,1,NA,NA,1,3,2,1
"904",424,"43",NA,NA,NA,2,30,3,0,1,2,20,2,0,1,NA,NA,1,3,4,4
"905",431,"43",NA,NA,NA,NA,NA,NA,NA,NA,2,10,2,0,1,NA,NA,NA,3,1,2
"906",431,"43",NA,NA,NA,NA,NA,NA,NA,NA,2,10,2,0,1,NA,NA,NA,3,2,2
"907",431,"43",NA,NA,NA,NA,NA,NA,NA,NA,2,10,2,0,1,NA,NA,NA,3,1,1
"908",431,"43",NA,NA,NA,NA,NA,NA,NA,NA,2,10,2,0,1,NA,NA,NA,3,2,1
"909",431,"43",NA,NA,NA,NA,NA,NA,NA,NA,2,10,2,0,1,NA,NA,NA,3,1,3
"910",431,"43",NA,NA,NA,NA,NA,NA,NA,NA,2,10,2,0,1,NA,NA,NA,3,2,3
"911",436,"21",2,"9","3",1,90,4,35,2,1,90,4,0,2,39,32,32,NA,1,2
"912",436,"21",1,"7","3",1,90,4,35,2,1,90,4,0,2,39,32,32,NA,1,2
"913",436,"43",NA,NA,NA,2,10,2,0,1,2,10,2,0,1,NA,NA,NA,NA,3,2
"914",436,"43",NA,NA,NA,2,10,2,0,1,2,10,2,0,1,NA,NA,NA,NA,3,3
"915",436,"43",NA,NA,NA,2,10,2,0,1,2,10,2,0,1,NA,NA,NA,NA,1,2
"916",436,"43",NA,NA,NA,2,10,2,0,1,2,10,2,0,1,NA,NA,NA,NA,1,3
"917",436,"43",NA,NA,NA,2,10,2,0,1,2,10,2,0,1,NA,NA,NA,NA,2,3
"918",436,"43",NA,NA,NA,2,10,2,0,1,2,10,2,0,1,NA,NA,NA,NA,1,1
"919",436,"43",NA,NA,NA,2,10,2,0,1,2,10,2,0,1,NA,NA,NA,NA,2,2
"920",436,"43",NA,NA,NA,2,10,2,0,1,2,10,2,0,1,NA,NA,NA,NA,3,1
"921",436,"43",NA,NA,NA,2,10,2,0,1,2,10,2,0,1,NA,NA,NA,NA,2,1
"922",439,"21",1,"0","3",1,90,4,0,2,1,90,4,0,2,48,60,26,NA,NA,1
"923",439,"21",2,"9","4",1,90,4,0,2,1,90,4,0,2,48,60,26,NA,NA,1
"924",439,"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,1,1
"925",439,"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,2,3
"926",439,"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,2,1
"927",439,"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,1,2
"928",439,"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,1,3
"929",439,"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,2,2
"930",452,"21",1,"7","3",1,100,4,35,2,1,100,4,0,2,30,25,24,NA,1,1
"931",452,"21",2,"9","4",1,100,4,35,2,1,100,4,0,2,30,25,24,NA,1,1
"932",453,"25",2,"8","3",1,70,4,0,2,1,80,4,0,2,28,31,27,0,1,1
"933",454,"43",2,"0","4",1,90,4,0,1,1,100,4,0,1,12,12,13,3,3,4
"934",454,"43",2,"0","4",1,90,4,0,1,1,100,4,0,1,12,12,13,3,3,2
