"Estadillo","CoorX","CoorY","Altitude_m","FuelModel","Aspect","Slope","Exposure","Stoniness","Texture","BioRigion","OrganicMatter","SoilpH","SoilType"
229,361861,4737796,1121,5,,2.5,Sunny slope,Slightly stony,Loam texture,Mediterranean,Low humic,Moderately acidic (5>pH<6),Siliceous soil
234,357904,4735777,1137,9,,4.0,Sunny slope,Slightly stony,Loam texture,Mediterranean,Low humic,Moderately acidic (5>pH<6),Siliceous soil
236,359901,4735801,1124,5,,3.5,Shady slope,Slightly stony,Loam texture,Mediterranean,Low humic,Moderately acidic (5>pH<6),Siliceous soil
241,352865,4734813,1154,5,,1.0,All exposures,Slightly stony,Loam texture,Mediterranean,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
242,353876,4734814,1161,5,,0.25,All exposures,Slightly stony,Loam texture,Mediterranean,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
250,352892,4733753,1154,7,,1.0,All exposures,Slightly stony,Loam texture,Mediterranean,Low humic,Moderately acidic (5>pH<6),Siliceous soil
252,359878,4733793,1127,9,,0.5,All exposures,Slightly stony,Clay texture,Mediterranean,Low humic,Moderately acidic (5>pH<6),Siliceous soil
255,369882,4733786,1082,5,,3.5,All exposures,No stoniness,Loam texture,Mediterranean,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
259,353892,4732804,1149,7,,0.25,All exposures,Slightly stony,Loam texture,Mediterranean,Low humic,Moderately acidic (5>pH<6),Siliceous soil
260,369881,4732783,1068,5,,6.5,Sunny slope,Slightly stony,Loam texture,Mediterranean,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
267,354892,4730794,1132,7,,0.25,All exposures,Slightly stony,Loam texture,Mediterranean,Low humic,Moderately acidic (5>pH<6),Siliceous soil
277,370905,4729765,1066,5,,6.5,All exposures,Slightly stony,Loam texture,Mediterranean,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
280,356902,4728782,1107,11,,0.25,All exposures,Slightly stony,Loam texture,Mediterranean,Low humic,Moderately acidic (5>pH<6),Siliceous soil
281,357857,4728757,1099,7,,2.5,Sunny slope,Slightly stony,Loam texture,Mediterranean,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
283,355888,4727755,1059,5,,1.75,All exposures,Slightly stony,Loam texture,Mediterranean,Low humic,Moderately acidic (5>pH<6),Siliceous soil
290,367892,4727794,980,6,,1.5,All exposures,Slightly stony,Sandy texture,Mediterranean,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
293,356886,4726774,1072,7,,5.5,Sunny slope,Slightly stony,Sandy texture,Mediterranean,Low humic,Moderately acidic (5>pH<6),Siliceous soil
295,358886,4726778,1044,7,,4.5,Shady slope,Slightly stony,Loam texture,Mediterranean,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
297,361863,4726789,1018,6,,7.5,Sunny slope,Slightly stony,Loam texture,Mediterranean,Low humic,Moderately acidic (5>pH<6),Siliceous soil
298,362873,4726785,1071,6,,1.0,All exposures,Slightly stony,Sandy texture,Mediterranean,Low humic,Moderately acidic (5>pH<6),Siliceous soil
301,355872,4725777,1087,7,,0.25,All exposures,Slightly stony,Loam texture,Mediterranean,Low humic,Moderately acidic (5>pH<6),Siliceous soil
303,357880,4725784,1022,7,,0.5,All exposures,Slightly stony,Loam texture,Mediterranean,Low humic,Moderately acidic (5>pH<6),Siliceous soil
308,363877,4725797,1030,5,,3.0,Shady slope,Slightly stony,Loam texture,Mediterranean,Low humic,Moderately acidic (5>pH<6),Siliceous soil
309,365914,4725803,984,6,,4.0,All exposures,Slightly stony,Loam texture,Mediterranean,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
310,369891,4725818,1002,5,,6.0,Sunny slope,No stoniness,Loam texture,Mediterranean,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
312,371910,4725776,1071,5,,0.25,All exposures,No stoniness,Loam texture,Mediterranean,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
314,379922,4741791,1169,5,,4.75,Sunny slope,No stoniness,Loam texture,Mediterranean,Low humic,Moderately acidic (5>pH<6),Limestone soil
317,395892,4739813,974,8,,2.5,Sunny slope,No stoniness,Loam texture,Mediterranean,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
323,392897,4737784,944,8,,2.0,All exposures,No stoniness,Sandy texture,Mediterranean,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
324,393919,4737785,949,9,,2.5,Sunny slope,No stoniness,Sandy texture,Mediterranean,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
328,391892,4735793,1000,4,,4.0,Shady slope,Slightly stony,Loam texture,Mediterranean,Highly humic,Moderately acidic (5>pH<6),Siliceous soil
329,393907,4735792,951,5,,12.25,Sunny slope,Stony,Loam texture,Mediterranean,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
331,377904,4734780,1092,5,,3.25,Shady slope,No stoniness,Loam texture,Mediterranean,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
338,385903,4733807,1012,6,,5.0,Sunny slope,Stony,Clay texture,Mediterranean,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
345,399933,4732794,1041,5,,2.0,Sunny slope,Slightly stony,Loam texture,Mediterranean,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
352,395886,4729801,912,5,,6.25,Sunny slope,No stoniness,Loam texture,Mediterranean,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
354,397911,4729768,940,5,,4.75,Shady slope,No stoniness,Clay texture,Mediterranean,Moderately humic,Moderately acidic (5>pH<6),Limestone soil
363,389904,4726785,969,8,,1.25,All exposures,No stoniness,Loam texture,Mediterranean,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
365,391912,4726792,965,6,,1.5,All exposures,Stony,Loam texture,Mediterranean,Highly humic,Neutral (pH=7),Limestone soil
368,376882,4725806,1055,5,,1.0,All exposures,No stoniness,Sandy texture,Mediterranean,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
371,409896,4741812,994,11,,5.5,Sunny slope,No stoniness,Loam texture,Atlantic,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
382,345937,4724840,1089,11,,0.5,All exposures,Slightly stony,Sandy texture,Mediterranean,Low humic,Moderately acidic (5>pH<6),Siliceous soil
384,345955,4723788,1080,11,,1.0,All exposures,Slightly stony,Sandy texture,Mediterranean,Low humic,Moderately acidic (5>pH<6),Siliceous soil
386,345918,4722804,1076,11,,0.5,All exposures,Slightly stony,Sandy texture,Mediterranean,Low humic,Moderately acidic (5>pH<6),Siliceous soil
398,347903,4719775,1041,11,,0.25,All exposures,Slightly stony,Loam texture,Mediterranean,Low humic,Moderately acidic (5>pH<6),Siliceous soil
402,344928,4717802,1041,11,,0.5,All exposures,Slightly stony,Loam texture,Mediterranean,Low humic,Moderately acidic (5>pH<6),Siliceous soil
404,344906,4716775,1022,11,,0.5,All exposures,Stony,Loam texture,Mediterranean,Low humic,Moderately acidic (5>pH<6),Siliceous soil
407,344905,4714759,1010,8,,0.5,All exposures,Slightly stony,Loam texture,Mediterranean,Low humic,Moderately acidic (5>pH<6),Siliceous soil
411,345899,4710808,989,5,,0.25,All exposures,Slightly stony,Loam texture,Mediterranean,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
412,346899,4710829,991,5,,0.25,All exposures,Slightly stony,Loam texture,Mediterranean,Low humic,Moderately acidic (5>pH<6),Siliceous soil
418,356864,4724825,1077,7,,0.25,All exposures,Stony,Sandy texture,Mediterranean,Low humic,Moderately acidic (5>pH<6),Siliceous soil
424,371876,4724791,1063,5,,0.5,All exposures,No stoniness,Loam texture,Mediterranean,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
431,370880,4723808,1005,5,,5.25,Sunny slope,Slightly stony,Loam texture,Mediterranean,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
436,355869,4722843,1069,11,,0.5,All exposures,Slightly stony,Loam texture,Mediterranean,Low humic,Moderately acidic (5>pH<6),Siliceous soil
439,364896,4722817,1009,2,,5.0,Shady slope,No stoniness,Loam texture,Mediterranean,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
452,360862,4720787,1013,11,,0.75,All exposures,Slightly stony,Loam texture,Mediterranean,Low humic,Moderately acidic (5>pH<6),Siliceous soil
