"id","period","month","tmin_min","tavg_min","tmax_min","prec_min","tmin","tmax","tavg","prec","tmin_max","tavg_max","tmax_max","prec_max","martonne"
109,"1991_2020","01",-5,-1.5,2,10,-2.1,4.43333333333333,1.16666666666667,100.320000076294,0,3,6,219.800003051758,NA
109,"1991_2020","02",-5,-1,3,12.3000001907349,-2.4,5.63333333333333,1.61666666666667,69.3599995613098,0,4,9,157.5,NA
109,"1991_2020","03",-1,3,7,4.59999990463257,-0.266666666666667,9.4,4.56666666666667,70.6499997297923,2,7,13,166.699996948242,NA
109,"1991_2020","04",-1,4.5,9,21.6000003814697,0.933333333333333,11.5666666666667,6.25,76.4466667811076,3,8.5,14,147,NA
109,"1991_2020","05",2,7.5,13,30,4.3,15.8666666666667,10.0833333333333,82.4199996948242,6,12,18,185.100006103516,NA
109,"1991_2020","06",6,11.5,17,19.1000003814697,8.23333333333333,20.9666666666667,14.6,51.8199998219808,10,16.5,23,135.5,NA
109,"1991_2020","07",9,16,23,13,10.5666666666667,24.5,17.5333333333333,37.1266665140788,13,20,27,98.6999969482422,NA
109,"1991_2020","08",9,15.5,22,5.40000009536743,10.7,24.2333333333333,17.4666666666667,33.8233333905538,12,19,26,93.9000015258789,NA
109,"1991_2020","09",6,11.5,17,19.6000003814697,8.1,19.9333333333333,14.0166666666667,52.3333333969116,10,15.5,22,117.599998474121,NA
109,"1991_2020","10",3,6.5,10,18.8999996185303,4.86666666666667,13.7,9.28333333333333,97.9299993515015,7,12,17,194.800003051758,NA
109,"1991_2020","11",-2,2.5,6,32.0999984741211,1.16666666666667,8.26666666666667,4.71666666666667,103.210000228882,4,7,11,223.199996948242,NA
109,"1991_2020","12",-5,-1,3,16.7999992370605,-1.4,5.43333333333333,2.01666666666667,101.106666501363,1,4,8,211.199996948242,NA
109,"1991_2020","annual",2.75,7.58333333333333,12.4166666666667,687.500004291534,3.55833333333333,13.6611111111111,8.60972222222222,876.546665048599,4.33333333333333,9.375,14.6666666666667,1175.09999704361,47.1015448044624
111,"1991_2020","01",-4,-0.5,3,9.5,-1.5,5.16666666666667,1.83333333333333,88.5233341217041,1,3.5,7,196,NA
111,"1991_2020","02",-4,0,4,10.8999996185303,-1.43333333333333,6.5,2.53333333333333,61.6533330917358,1,5,10,138.699996948242,NA
111,"1991_2020","03",0,4,8,3.79999995231628,0.8,10.3,5.55,61.2499999602636,3,8,14,148.399993896484,NA
111,"1991_2020","04",0,5.5,10,19,2.2,12.4666666666667,7.33333333333333,68.4366667429606,4,9.5,15,134.100006103516,NA
111,"1991_2020","05",3,8.5,14,28.1000003814697,5.46666666666667,16.4666666666667,10.9666666666667,73.4666666030884,7,13,19,162,NA
111,"1991_2020","06",7,12,17,17.5,9.26666666666667,21.3,15.2833333333333,46.2733332316081,11,17.5,24,118.599998474121,NA
111,"1991_2020","07",10,16.5,23,11.6999998092651,11.5,24.5,18,33.6100001970927,14,20.5,27,90.5,NA
111,"1991_2020","08",10,16,22,4.80000019073486,11.6333333333333,24.1666666666667,17.9,29.8266665617625,13,19.5,26,81.5999984741211,NA
111,"1991_2020","09",7,12,17,16.3999996185303,9.23333333333333,20.1333333333333,14.6833333333333,47.3266667048136,11,16.5,23,109.5,NA
111,"1991_2020","10",4,7,10,16.2000007629395,5.86666666666667,14.2,10.0333333333333,90.2566674550374,8,12.5,17,178,NA
111,"1991_2020","11",-1,3.5,7,28.2000007629395,2,9.16666666666667,5.58333333333333,89.6933335622152,5,8,12,195.300003051758,NA
111,"1991_2020","12",-4,-0.5,3,15.8000001907349,-0.566666666666667,6.1,2.76666666666667,90.7966667493184,2,5,9,189.300003051758,NA
111,"1991_2020","annual",3.66666666666667,8.33333333333333,13,596.800004959106,4.53888888888889,14.2055555555556,9.37222222222222,781.1133349816,5.25,10.1666666666667,15.25,1047.80000185966,40.3213077994517
113,"1991_2020","01",-5,-1.5,2,10,-2.1,4.43333333333333,1.16666666666667,100.320000076294,0,3,6,219.800003051758,NA
113,"1991_2020","02",-5,-1,3,12.3000001907349,-2.4,5.63333333333333,1.61666666666667,69.3599995613098,0,4,9,157.5,NA
113,"1991_2020","03",-1,3,7,4.59999990463257,-0.266666666666667,9.4,4.56666666666667,70.6499997297923,2,7,13,166.699996948242,NA
113,"1991_2020","04",-1,4.5,9,21.6000003814697,0.933333333333333,11.5666666666667,6.25,76.4466667811076,3,8.5,14,147,NA
113,"1991_2020","05",2,7.5,13,30,4.3,15.8666666666667,10.0833333333333,82.4199996948242,6,12,18,185.100006103516,NA
113,"1991_2020","06",6,11.5,17,19.1000003814697,8.23333333333333,20.9666666666667,14.6,51.8199998219808,10,16.5,23,135.5,NA
113,"1991_2020","07",9,16,23,13,10.5666666666667,24.5,17.5333333333333,37.1266665140788,13,20,27,98.6999969482422,NA
113,"1991_2020","08",9,15.5,22,5.40000009536743,10.7,24.2333333333333,17.4666666666667,33.8233333905538,12,19,26,93.9000015258789,NA
113,"1991_2020","09",6,11.5,17,19.6000003814697,8.1,19.9333333333333,14.0166666666667,52.3333333969116,10,15.5,22,117.599998474121,NA
113,"1991_2020","10",3,6.5,10,18.8999996185303,4.86666666666667,13.7,9.28333333333333,97.9299993515015,7,12,17,194.800003051758,NA
113,"1991_2020","11",-2,2.5,6,32.0999984741211,1.16666666666667,8.26666666666667,4.71666666666667,103.210000228882,4,7,11,223.199996948242,NA
113,"1991_2020","12",-5,-1,3,16.7999992370605,-1.4,5.43333333333333,2.01666666666667,101.106666501363,1,4,8,211.199996948242,NA
