"ID","IDmuni","Tronco_Corteza_mean_IFN2P","Ramas_7_mean_IFN2P","Ramas_7_2_mean_IFN2P","Ramas_2_mean_IFN2P","Raiz_mean_IFN2P","Tronco_Corteza_mean_IFN3P","Ramas_7_mean_IFN3P","Ramas_7_2_mean_IFN3P","Ramas_2_mean_IFN3P","Raiz_mean_IFN3P","Tronco_Corteza_mean_IFN4P","Ramas_7_mean_IFN4P","Ramas_7_2_mean_IFN4P","Ramas_2_mean_IFN4P","Raiz_mean_IFN4P"
"1",34003,NA,NA,NA,NA,NA,0.0246788484995295,1.3393172238472e-06,0.00421731825377627,0.00151447621330642,0.0080602747898698,0.139557118533539,0.0145767413950761,0.0230316676545748,0.0286497568015131,0.0491965009722238
"2",34004,3.04615744400462,0.373344349399878,0.671863175704111,1.07163990724133,1.97668948756269,6.40645866834393,0.77278616158468,1.27860768732845,1.64305006764345,3.37853937823629,10.9812223466166,1.0764159960039,1.97520677317219,2.22338276783084,4.82207933234053
"3",34005,1.0592630170208,0.206153762742462,0.204457177630014,0.381867378940286,0.390674316770187,3.72620129546972,0.715328800318715,0.978645621063281,1.18221206766362,2.12428763580494,9.98002913535029,1.33083985542232,1.86695701996871,2.27966654608633,4.07669876415343
"4",34020,7.93616535738007,0.560833525387453,1.68548634305547,3.35661050872949,5.26315695137286,13.5561050446219,0.445785310732034,2.39620140231803,4.20664984166065,8.52811789134556,20.8793013672804,0.467565044761232,3.14213129729914,4.55745497206281,11.1395370811457
"5",34025,NA,NA,NA,NA,NA,7.2237826203206,1.31162551035795,1.37528547235122,2.11510138581625,2.39896936002908,9.13353763191199,1.14622041837535,1.45749510108033,2.06996152540736,3.05417607055772
"6",34027,4.29867189150702,0.52544398299632,0.827835129005541,0.780413262908089,2.67368159042284,7.33781915646297,0.790273395713014,1.37803456235249,1.35210149385373,4.13874424927391,14.8798859692777,0.92068324972984,2.73999261143754,2.25247687335701,7.1610849732646
"7",34028,NA,NA,NA,NA,NA,4.56960925976758,0.330526892817385,0.876573940767125,1.13488928072817,2.42932505451504,8.42694004670645,0.481685974795936,1.45148936365074,1.71481292511435,4.01967984421062
"8",34037,7.17570071749756,0.542142328003634,1.53890517507285,3.11201342455248,4.78387509233943,11.9882558119216,0.886708635512403,2.16001952115262,3.63755013730321,6.54295158907629,16.5214898997192,0.907100981350038,2.5159488264127,3.7198414009352,7.87478986024224
"9",34039,NA,NA,NA,NA,NA,0.26260937807426,0,0.0497180565524119,0.0746694194792287,0.203647366362599,1.09264065537494,0.00404615227771089,0.209914893024621,0.197039406409227,0.656788206557926
"10",34041,2.43285516074429,0.244038448439842,0.509517710696538,1.06910912208062,1.49933922228124,5.70549876859354,0.893862902364722,1.08375209844889,1.71260744720987,2.21021646728377,8.18604879381538,0.92969272824933,1.23368215748949,1.92207723415522,2.95061874586806
