"Estadillo","SpeciesID","SpeciesName","NtreesNFI2","NtreesNFI3","NtreesNFI4","AgeNFI3","AgeNFI4","SPdevelopmentNFI2","SPdevelopmentNFI2name","SPdevelopmentNFI3","SPdevelopmentNFI3name","SPdevelopmentNFI4","SPdevelopmentNFI4name","Origin1NFI3","Origin1NFI3_EN","Origin2NFI3","Origin2NFI3_EN","Origin1NFI4","Origin1NFI4_EN","Origin2NFI4","Origin2NFI4_EN","SPcoverNFI2","SPcoverNFI3","SPcoverNFI4","RegenerNFI2","RegenerNFI2_EN","RegenerNFI3","RegenerNFI3_EN","RegenerNFI4","RegenerNFI4_EN"
312,"43","Quercus pyrenaica",NA,NA,NA,0,0,NA,NA,2,"Thicket",2,"Thicket",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,20,10,1,"1–4 stems",1,"1–4 stems",NA,NA
314,"37","Juniperus communis",NA,NA,NA,0,40,NA,NA,1,"Young growth",1,"Young growth",1,"Natural","1","Seed",1,"Natural",1,"Seed",NA,30,20,3,">15 stems",3,">15 stems",3,">15 stems"
314,"44","Quercus faginea",1,2,4,0,40,"3","Polewood",3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",60,50,70,3,">15 stems",3,">15 stems",3,">15 stems"
317,"25","Pinus nigra",34,43,38,30,0,"3","Polewood",3,"Polewood",4,"Old growth",2,"Artificial","J",NA,2,"Artificial",2,"Plantation",0,100,100,0,NA,NA,NA,NA,NA
323,"26","Pinus pinaster",35,20,16,0,0,"4","Old growth",4,"Old growth",4,"Old growth",3,"Naturalized","5","Mixed: seed and plantation",3,"Naturalized",5,"Mixed: seed and plantation",80,70,60,2,"5–15 stems",NA,NA,NA,NA
324,"26","Pinus pinaster",25,15,16,30,45,"4","Old growth",4,"Old growth",4,"Old growth",2,"Artificial","J",NA,2,"Artificial",2,"Plantation",60,50,50,2,"5–15 stems",NA,NA,NA,NA
328,"42","Quercus petraea",7,11,21,0,0,NA,NA,3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,20,40,1,"1–4 stems",NA,NA,NA,NA
328,"43","Quercus pyrenaica",8,16,15,0,0,"3","Polewood",3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",40,60,40,3,">15 stems",3,">15 stems",NA,NA
329,"44","Quercus faginea",1,3,7,0,0,"3","Polewood",3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",0,100,100,3,">15 stems",2,"5–15 stems",NA,NA
331,"37","Juniperus communis",NA,NA,NA,0,30,NA,NA,2,"Thicket",2,"Thicket",1,"Natural","1","Seed",1,"Natural",1,"Seed",NA,10,10,2,"5–15 stems",1,"1–4 stems",2,"5–15 stems"
