"Estadillo","CoorX","CoorY","YearNFI2","YearNFI3","YearNFI4","CanopyNFI2","CanopyNFI3","CanopyNFI4","NtreesNFI2","NtreesNFI3","NtreesNFI4","HoNFI2","HoNFI3","HoNFI4","HmNFI2","HmNFI3","HmNFI4","DgNFI2","DgNFI3","DgNFI4","DmNFI2","DmNFI3","DmNFI4","DeadTreesNFI2","DeadTreesNFI3","DeadTreesNFI4","CompositionNFI2","CompositionNFI3","CompositionNFI4","StructureNFI2","StructureNFI3","StructureNFI4","ShannonNFI2","ShannonNFI3","ShannonNFI4","SlendernessNFI2","SlendernessNFI3","SlendernessNFI4","SDIR_NFI2","SDIR_NFI3","SDIR_NFI4","HartNFI2","HartNFI3","HartNFI4"
47,368892,4754814,91,"05/26/03 00:00:00","2019-08-28T22:00:00Z",40,60,90,13,33,51,5.68169011381621,8.60125200723605,13.5775274667517,5.42307692307692,7.57575757575758,12.5803922391405,0.121017957980814,0.170825225232568,0.227114141641011,0.119,0.167818181818182,0.222509803921569,0,0,0,"Pure","Pure","Pure","Even-aged","Uneven-aged","Uneven-aged",0,0,0,45.5720749838397,45.1426507764536,56.5385974793943,0.261962040234356,0.64492333673934,0.835568706244678,58.0066877567763,32.2029067901807,22.5248543095357
49,369907,4753795,91,"2006-03-03 00:00","2019-07-10T22:00:00Z",90,80,95,22,26,31,11.8585289394739,16.4397746003165,19.2251410870473,10.5681818181818,13.6153846153846,16.4419355392456,0.266932107473043,0.290295390010827,0.344474775517369,0.256454545454545,0.275826923076923,0.322709677419355,0,0,3,"Pure","Pure","Pure","Uneven-aged","Uneven-aged","Uneven-aged",0,0,0,41.2087912087912,49.3620581468312,50.949620323532,0.553352512260888,0.816051019546821,0.940179734865424,39.2349519893196,24.9283152957454,22.7830617691537
54,357918,4751766,91,"2005-08-03 00:00","2019-07-30T22:00:00Z",60,75,80,5,13,26,5.13661977236758,8.45492965855137,10.9711422580014,4.7,6.73076923076923,8.03461542496314,0.12885030073694,0.149988845739121,0.181726786688149,0.1272,0.144,0.169865384615385,0,0,0,"Mixed","Mixed","Mixed","Even-aged","Uneven-aged","Uneven-aged",0.689009238476659,0.551079928086973,0.213767452800811,36.9496855345912,46.741452991453,47.2998983468905,0.130907611070305,0.366866845705308,0.803230431936043,107.712745814661,43.4064265334272,25.1513791038659
66,365937,4749769,91,"05/27/03 00:00:00","2019-09-23T22:00:00Z",60,75,70,4,8,9,7.96095444685466,9.64705882352941,10.3770368530768,7.875,11,12.0000000794729,0.31273321297873,0.392048147553333,0.403608514941562,0.300375,0.3765,0.380111111111111,0,0,1,"Mixed","Mixed","Mixed","Uneven-aged","Uneven-aged","Uneven-aged",0.684341143963379,0.875513082688524,1.21633660954124,26.2172284644195,29.2164674634794,31.5697166662542,0.0355241957023269,0.0782314828060707,0.091284155843162,161.053527476212,122.329440201061,97.9715194685281
69,349879,4748713,91,"2004-09-03 00:00","2019-08-20T22:00:00Z",25,70,60,2,10,18,5.75,7.28294212105226,10.9687951750498,5.75,6.5,9.63333336512247,0.154624141064712,0.182737995501757,0.222121119362087,0.15425,0.17105,0.209694444444444,0,0,0,"Pure","Pure","Mixed","Even-aged","Uneven-aged","Uneven-aged",0,0,0.664656023518525,37.2771474878444,38.0005846243788,45.9398597356483,0.0250445924147124,0.351834178438751,0.20456639337307,225.661783532758,59.5710840746275,37.3041347792442
72,357892,4748794,91,"2004-10-03 00:00","2019-07-01T22:00:00Z",50,75,80,24,32,41,9.63661977236758,10.8536776513153,15.4836621954446,7.95833333333333,9.515625,13.7365852797904,0.154916341670808,0.189799071388666,0.230478293777178,0.150104166666667,0.18328125,0.224024390243902,0,1,1,"Pure","Pure","Pure","Uneven-aged","Uneven-aged","Uneven-aged",0,0,0,53.0187369882026,51.9181585677749,61.3173648852918,0.482882909239418,0.523957842206048,0.686530440357687,30.7110878298429,30.8101435634261,22.0493008892539
90,372951,4747849,91,"03/25/03 00:00:00","2019-08-04T22:00:00Z",90,85,95,11,21,32,6.47746482927569,10.9549296585514,17.2668545732841,5.68181818181818,10.2857142857143,15.6437498927116,0.0934852929609786,0.135509488334107,0.200455847694698,0.0923636363636364,0.133309523809524,0.19509375,0,0,0,"Mixed","Mixed","Mixed","Even-aged","Uneven-aged","Uneven-aged",0.668856478524791,0.664528438654915,1.05394979379536,61.5157480314961,77.1566351134131,80.1858075551453,0.205480391759429,0.36947236053089,0.517333986147115,44.2424200919672,25.8463843552432,19.9260846913995
94,358890,4746728,91,"05/21/03 00:00:00","2019-08-27T22:00:00Z",65,80,85,14,46,59,5.6591549430919,8.5,12.9814083911953,5.07142857142857,7.89130434782609,12.3847457433151,0.0989435264611659,0.152929757959546,0.196585234026587,0.0974285714285714,0.151304347826087,0.193305084745763,0,0,0,"Pure","Pure","Pure","Even-aged","Uneven-aged","Uneven-aged",0,0,0,52.0527859237537,52.1551724137931,64.0683909562114,0.305824009897119,0.713582620748198,0.953235819203186,45.8562793421287,28.3466397760596,19.6444744469513
109,363930,4745778,91,"04/30/03 00:00:00","2019-09-17T22:00:00Z",65,60,65,22,29,33,7.20422528454052,9.25242564407927,11.3061031046597,6.61363636363636,8.48275862068965,9.97878781231967,0.149211983128336,0.160513212475828,0.185287000966805,0.146568181818182,0.156224137931034,0.178939393939394,0,0,0,"Pure","Pure","Pure","Uneven-aged","Uneven-aged","Uneven-aged",0,0,0,45.1232749263452,54.2986425339367,55.7662993745214,0.596989876539679,0.778040997868454,0.908541475589881,41.8742633640329,30.2834980494557,25.7336109478776
111,348850,4744750,91,"2004-08-03 00:00","2019-06-18T22:00:00Z",85,85,70,62,58,39,14.7974959855279,17.0707355302631,19.614394988447,14.8064516129032,17.2068965517241,19.9538462956747,0.226624645258872,0.265347332559707,0.331452736701127,0.223717741935484,0.261965517241379,0.327115384615385,0,0,0,"Pure","Pure","Pure","Uneven-aged","Uneven-aged","Uneven-aged",0,0,0,66.1836271223099,65.6838225615375,60.9994125440965,0.997145335437823,0.900443681270541,0.689573072714869,18.8866237053198,19.5532349171074,23.2466881261445
