"Estadillo","SpeciesID","SpeciesName","CanopySHRNFI2","CanopySHRNFI3","CanopySHRNFI4","HmSHRNFI2","HmSHRNFI3","HmSHRNFI4"
303,119,"Rosa spp.",NA,3,3,NA,6,12
303,134,"Spiraea spp.",NA,3,NA,NA,5,NA
303,1102,"Erica arborea",NA,70,65,NA,17,15
303,1134,NA,NA,NA,3,NA,NA,5
303,2102,"Erica australis",NA,5,NA,NA,13,NA
308,102,"Erica spp.",60,60,60,10,1,1
308,104,"Other papilionoid shrubs (Ht<1.5m)",10,NA,NA,3,NA,NA
308,106,"Calluna vulgaris",10,5,2,3,3,3
308,136,"Chamaespartium tridentatum",NA,2,2,NA,2,3
308,2102,"Erica australis",NA,10,7,NA,20,15
308,4104,"Cytisus spp.",NA,NA,9,NA,NA,12
309,102,"Erica spp.",20,NA,63,2,NA,2
309,106,"Calluna vulgaris",40,20,16,3,4,4
309,5102,"Erica umbellata",NA,60,NA,NA,2,NA
310,102,"Erica spp.",15,15,17,2,2,3
310,106,"Calluna vulgaris",30,10,12,4,4,4
310,119,"Rosa spp.",10,NA,NA,15,NA,NA
310,121,"Rubus spp.",NA,NA,6,NA,NA,18
310,2950,NA,NA,NA,4,NA,NA,14
312,102,"Erica spp.",30,NA,NA,13,NA,NA
312,104,"Other papilionoid shrubs (Ht<1.5m)",10,NA,NA,3,NA,NA
312,106,"Calluna vulgaris",15,30,12,4,4,4
312,107,"Arctostaphylos uva-ursi",5,NA,NA,1,NA,NA
312,136,"Chamaespartium tridentatum",NA,5,8,NA,4,2
312,1102,"Erica arborea",NA,NA,9,NA,NA,10
312,2102,"Erica australis",NA,30,35,NA,2,2
314,102,"Erica spp.",NA,35,19,NA,2,2
314,103,"Other papilionoid shrubs (Ht>1.5m)",45,NA,NA,3,NA,NA
314,115,"Viburnum spp.",5,5,NA,13,20,NA
314,119,"Rosa spp.",NA,3,4,NA,3,3
314,122,"Rhamnus spp.",5,NA,NA,4,NA,NA
314,128,"Helichrysum stoechas",NA,2,NA,NA,1,NA
314,182,"Lithodora sp.",NA,NA,2,NA,NA,2
314,200,NA,NA,NA,5,NA,NA,6
314,1139,"Juniperus sabina",NA,NA,1,NA,NA,2
314,2950,NA,NA,NA,4,NA,NA,4
314,3115,NA,NA,NA,5,NA,NA,8
314,3155,"Genista scorpius",NA,50,35,NA,4,4
317,103,"Other papilionoid shrubs (Ht>1.5m)",20,NA,NA,4,NA,NA
317,3155,"Genista scorpius",NA,2,2,NA,4,4
323,102,"Erica spp.",70,10,15,2,2,2
323,103,"Other papilionoid shrubs (Ht>1.5m)",5,NA,NA,3,NA,NA
323,106,"Calluna vulgaris",NA,2,NA,NA,3,NA
323,107,"Arctostaphylos uva-ursi",30,7,10,1,1,1
323,117,"Halimium spp.",NA,2,2,NA,4,3
323,121,"Rubus spp.",NA,NA,1,NA,NA,3
323,9104,"Genistella spp.",NA,1,NA,NA,2,NA
324,102,"Erica spp.",60,8,NA,2,2,NA
324,103,"Other papilionoid shrubs (Ht>1.5m)",20,NA,NA,3,NA,NA
324,5102,"Erica umbellata",NA,NA,10,NA,NA,2
324,9104,"Genistella spp.",NA,1,NA,NA,2,NA
