"ID","Estadillo","Especie","CD","CoorX","CoorY","N_IFN2","AB_IFN2","VCC_IFN2","N_IFN3","AB_IFN3","VCC_IFN3","N_IFN4","AB_IFN4","VCC_IFN4","EspecieN"
"42",69,21,25,349879,4748713,0,0,0,14.1471,0.677878,2.62412,42.4413540065169,1.98745,9.09978859595889,"P. sylvestris"
"43",69,21,30,349879,4748713,0,0,0,14.1471,1.00334,3.38409,28.2942360043446,2.02856944444444,10.4702058340487,"P. sylvestris"
"44",69,21,40,349879,4748713,0,0,0,0,0,0,14.1471180021723,1.755625,8.2070722848898,"P. sylvestris"
"45",69,22,10,349879,4748713,0,0,0,0,0,0,254.648124039101,2.773625,9.01490527049267,"P. uncinata"
"46",69,22,15,349879,4748713,0,0,0,0,0,0,95.493046514663,1.8360875,8.61440892010317,"P. uncinata"
"47",69,22,20,349879,4748713,0,0,0,0,0,0,31.8310155048877,1.177225,5.88320385690883,"P. uncinata"
"48",69,22,25,349879,4748713,0,0,0,0,0,0,14.1471180021723,0.719669444444445,3.32353551707348,"P. uncinata"
"49",72,21,10,357892,4748794,636.62,5.5636004,13.6181166,127.324,1.4641,4.03576,0,0,0,"P. sylvestris"
"50",72,21,15,357892,4748794,413.8,6.7619102,25.0279577,477.465,8.84995,37.3266,222.817108534214,4.4112875,20.827861256284,"P. sylvestris"
"51",72,21,20,357892,4748794,159.15,4.7213808,20.3022542,254.648,7.59377,37.7582,413.80320156354,12.74483125,74.7028671094754,"P. sylvestris"
"52",72,21,25,357892,4748794,14.14,0.6778718,2.7567876,70.7356,3.34491,17.0569,212.206770032584,10.4568361111111,64.8814604626735,"P. sylvestris"
"53",72,21,30,357892,4748794,0,0,0,28.2942,1.92664,7.47834,42.4413540065169,3.12783055555556,20.7613034905638,"P. sylvestris"
"54",72,21,35,357892,4748794,0,0,0,0,0,0,28.2942360043446,2.80756944444445,15.25878766186,"P. sylvestris"
"55",90,42,15,372951,4747849,0,0,0,0,0,0,159.155077524438,3.1959375,21.8477285637714,"Q. petraea"
"56",90,42,20,372951,4747849,0,0,0,0,0,0,190.986093029326,5.2587,37.4813894526324,"Q. petraea"
"57",90,42,25,372951,4747849,0,0,0,0,0,0,28.2942360043446,1.38643611111111,10.4053364054295,"Q. petraea"
"58",90,42,30,372951,4747849,0,0,0,0,0,0,14.1471180021723,1.05746944444444,6.87393796352468,"Q. petraea"
"59",90,43,10,372951,4747849,763.94,5.0863518,17.2964179,509.296,4.54773,17.2032,127.324062019551,1.155625,2.93191654182845,"Q. pyrenaica"
"60",90,43,15,372951,4747849,31.83,0.4095981,1.854735,286.479,4.58849,21.6358,127.324062019551,2.54833125,15.5973090603287,"Q. pyrenaica"
