"ID","Estadillo","CoorX","CoorY","Fecha2","FRACCION2","FRACCION3","Fecha3","FRACCION4","Fecha4","IFN2Num_arb","IFN3Num_arb","IFN4Num_arb","IFN2_muert","IFN3_muert","IFN4_muert","N_IFN2","N_IFN3","N_IFN4","Ho_IFN2","Ho_IFN3","Ho_IFN4","HartIFN2","HartIFN3","HartIFN4","H_shannon2","H_shannon3","H_shannon4","SDIR_IFN2","SDIR_IFN3","SDIR_IFN4","max_abIFN2","n_especies_10IFN2","especie_dominanteIFN2","ComposicionIFN2","max_abIFN3","n_especies_10IFN3","especie_dominanteIFN3","ComposicionIFN3","max_abIFN4","n_especies_10IFN4","especie_dominanteIFN4","ComposicionIFN4","nCD_IFN2","FormaIFN2","nCD_IFN3","FormaIFN3","nCD_IFN4","FormaIFN4"
"11",113,363902,4743810,91,55,70,"2004-11-03 00:00",80,"2019-07-15T22:00:00Z",6,16,22,0,0,0,215.3,653.87952,487.651157534879,7.62085159520641,9.47615031763029,12.9649987963677,92.5835136535845,42.7246358023857,36.160303557544,0,0,0,0.314809757495697,0.782800650200241,0.654039546360822,100,1,43,"pura",100,1,43,"pura",100,1,43,"pura",5,"Irregular",7,"Irregular",6,"Irregular"
"12",123,381873,4757828,91,90,90,"04/28/03 00:00:00",100,"2019-07-03T22:00:00Z",43,43,52,0,0,0,1361.21,784.74022,903.010542078657,11.817702729841,16.4320938909475,20.2869862812871,23.7445285695934,22.4907177000842,16.9822500949386,0.360739082636114,0.223070705264478,0.293577328248608,1.23397518373663,0.882885580922495,1.10125533501856,95.4755954950231,1,42,"pura",96.5175495191088,1,42,"pura",95.0767932208101,1,42,"pura",7,"Irregular",7,"Irregular",9,"Irregular"
"13",125,378901,4756814,91,60,65,"2005-05-03 00:00",85,"2019-07-08T22:00:00Z",9,22,25,0,0,0,954.92,891.268,951.393685646087,6.81830988618379,10.1140846016433,12.3447883827224,49.135903684073,34.2869172344589,27.1891353216382,0,0,0,0.277942196200226,0.417675200027518,0.605377317755735,100,1,43,"pura",100,1,43,"pura",100,1,43,"pura",2,"Regular",3,"Irregular",4,"Irregular"
"14",131,385851,4755778,91,70,75,"05/14/03 00:00:00",80,"2019-05-12T22:00:00Z",14,19,28,0,0,2,179.06,258.04332,575.929173868434,11.5537590029999,12.6370265307906,14.7890005837574,66.9632592525459,50.9997409813422,29.169958606521,0.677711574386536,0.677677923729731,1.25484800021081,0.233470298750693,0.272642423277856,0.578355017469208,72.6645804729539,2,42,"mixta",72.671874467861,2,42,"mixta",79.6063803595748,2,42,"mixta",9,"Irregular",8,"Irregular",9,"Irregular"
"15",133,377862,4754828,91,90,90,"2004-10-03 00:00",95,"2019-06-25T22:00:00Z",44,52,60,0,2,7,2051.3,1842.6612,1648.13924725307,9.95179964046125,13.5176838825658,17.2970892810718,22.9690463604022,17.8416142965901,14.7431132072225,0.641945688275869,0.664082918317941,0.579335449124711,0.937824036712333,1.00352719912174,1.13093219129526,61.210658941736,2,42,"mixta",62.4784840176154,2,42,"mixta",73.2172253511615,2,42,"mixta",4,"Irregular",5,"Irregular",6,"Irregular"
"16",151,376861,4751808,91,90,90,"03/26/03 00:00:00",95,"2019-09-05T22:00:00Z",48,53,61,0,0,3,3098.18,2353.50746,2042.27795479359,10.3280124625009,12.4667543007764,14.7074378492605,18.0089794201506,17.1178015879657,15.5763153678323,0,0,0,1.56358326002246,1.43253683120207,1.4560354311859,100,1,43,"pura",100,1,43,"pura",100,1,43,"pura",6,"Irregular",6,"Irregular",7,"Irregular"
"17",154,380891,4751806,91,60,40,"05/21/03 00:00:00",50,"2019-03-20T23:00:00Z",2,10,23,0,0,0,254.64,1082.252,1269.70384069496,4.5,7.1591549430919,10.4552738279134,144.172806145929,43.9575235852558,27.7889763930328,0,0,0,0.0467684478886939,0.32016247343626,0.669351127079549,100,1,43,"pura",100,1,43,"pura",100,1,43,"pura",1,"Regular",2,"Regular",4,"Irregular"
"18",160,377887,4750782,91,90,85,"03/24/03 00:00:00",90,"2019-08-13T22:00:00Z",26,29,27,0,0,1,859.39,788.7016,429.082089005886,11.8536776513153,16.5658842421045,19.732900433406,29.7927722952297,22.2529808859927,25.3278345397192,0,0.169082560538792,0.657847016684568,0.675160827387909,0.76120744667255,0.547887121155462,100,1,42,"pura",98.0996367029614,1,42,"pura",87.9684938005382,1,42,"indefinida",6,"Irregular",7,"Irregular",7,"Irregular"
"19",162,396931,4750791,91,90,85,"2004-08-03 00:00",80,"2019-06-13T22:00:00Z",20,34,43,0,1,4,894.76,845.2899,859.437418631967,11.0658842421045,12.7316117434234,14.5151174213525,31.2766172096799,27.9687432438554,24.3294054245199,0.140282036377311,0.598479592512661,1.15226693771139,0.722515158776355,0.824115287206111,0.784849166350212,88.2225744842016,2,43,"mixta",75.7785499332756,2,43,"mixta",51.4153744583828,2,43,"mixta",6,"Irregular",7,"Irregular",7,"Irregular"
"20",168,398912,4749759,91,90,90,"2004-01-03 00:00",90,"2019-04-08T22:00:00Z",34,39,41,0,1,2,595.26,544.5225,424.55501124519,20.5812396982591,22.4058215457903,24.9289413928328,20.6174190202055,19.801148946036,20.1552577237283,0,0,0,0.819596214788138,0.93098941364512,0.866273879215322,100,1,42,"pura",100,1,42,"pura",100,1,42,"pura",7,"Irregular",8,"Irregular",9,"Irregular"
