"ID","Estadillo","CoorX","CoorY","Calidad","VCC_m3_ha_IFN2","VCC_total_IFN2","Porc_VCC_IFN2","VCC_m3_ha_IFN3","VCC_total_IFN3","Porc_VCC_IFN3","VCC_m3_ha_IFN4","VCC_total_IFN4","Porc_VCC_IFN4"
"1",47,368892,4754814,2,21.7244431839417,21.7244431839417,100,84.5640519756363,86.5281290156527,97.7301288467001,220.303983787644,225.956665754314,97.4983336084379
"2",47,368892,4754814,3,NA,NA,NA,1.96407704001643,86.5281290156527,2.26987115329991,5.65268196667006,225.956665754314,2.50166639156213
"3",49,369907,4753795,2,84.0773034811435,86.9976989784771,96.6431347821554,130.917067733863,143.437164704972,91.2713716860895,166.59928704005,188.971023175515,88.1612875034887
"4",49,369907,4753795,3,2.21169995163455,86.9976989784771,2.5422510912406,10.4005643854975,143.437164704972,7.25095508328673,22.371736135465,188.971023175515,11.8387124965113
"5",49,369907,4753795,4,0.708695545699067,86.9976989784771,0.814614126603964,1.18578708660503,143.437164704972,0.826694454707055,NA,NA,NA
"6",49,369907,4753795,5,NA,NA,NA,0.933745499006068,143.437164704972,0.650978775916715,NA,NA,NA
"7",54,357918,4751766,2,8.39862001518583,8.39862001518583,100,30.5149185685986,30.5149185685986,100,69.904374908298,78.0573063970229,89.5551975016193
"8",54,357918,4751766,3,NA,NA,NA,NA,NA,NA,8.15293148872494,78.0573063970229,10.4448024983807
"9",66,365937,4749769,2,5.89094187163934,11.4779150143044,51.3241461040419,28.1305668706728,31.1190536145771,90.3966014490096,39.3599251944553,40.6655139118195,96.7894449331313
"10",66,365937,4749769,3,3.44183548673776,11.4779150143044,29.9865914885095,NA,NA,NA,1.30558871736414,40.6655139118195,3.21055506686876
"11",66,365937,4749769,4,2.14513765592729,11.4779150143044,18.6892624074486,2.98848674390423,31.1190536145771,9.60339855099042,NA,NA,NA
"12",69,349879,4748713,2,3.42575473548496,3.42575473548496,100,21.0459822847442,24.634935800763,85.4314476601654,47.9616893592484,69.9687168140737,68.5473330698574
"13",69,349879,4748713,3,NA,NA,NA,3.58895351601883,24.634935800763,14.5685523398346,19.1850739848875,69.9687168140737,27.4195023982897
"14",69,349879,4748713,4,NA,NA,NA,NA,NA,NA,2.8219534699378,69.9687168140737,4.03316453185287
"15",72,357892,4748794,2,60.4313148084151,61.7051207919589,97.9356559598376,103.655771067833,103.655771067833,100,194.840633563229,196.432114061608,99.1898063583028
"16",72,357892,4748794,3,1.27380598354382,61.7051207919589,2.06434404016242,NA,NA,NA,1.59148049837858,196.432114061608,0.810193641697221
"17",90,372951,4747849,2,7.67785732260294,32.0928430726986,23.9238926423895,69.9158338523031,69.9158338523031,100,147.968119837218,150.900033902562,98.0570487696261
"18",90,372951,4747849,3,24.4149857500957,32.0928430726986,76.0761073576105,NA,NA,NA,2.93191406534449,150.900033902562,1.94295123037392
"19",94,358890,4746728,2,23.7874311377091,23.7874311377091,100,106.672314635403,108.193046482843,98.5944273713728,254.289632346811,257.55258936553,98.7330909672635
"20",94,358890,4746728,3,NA,NA,NA,1.52073184744078,108.193046482843,1.40557262862723,3.26295701871859,257.55258936553,1.26690903273648
"21",109,363930,4745778,2,32.0760998549107,56.8567684151846,56.4156225353536,58.4977378029384,85.1590059034643,68.6923680969821,88.4448895986556,117.515087198961,75.2625826238911
"22",109,363930,4745778,3,24.7806685602739,56.8567684151846,43.5843774646464,16.772254015743,85.1590059034643,19.6952205322311,23.5983565734151,117.515087198961,20.081129271054
"23",109,363930,4745778,4,NA,NA,NA,9.88901408478292,85.1590059034643,11.6124113707868,4.05338544842156,117.515087198961,3.44924685420087
"24",109,363930,4745778,5,NA,NA,NA,NA,NA,NA,1.41845557846852,117.515087198961,1.20704125085401
"25",111,348850,4744750,2,315.294000622881,315.294000622881,100,349.910788745074,349.910788745074,100,299.4935307003,325.344668634293,92.0542303513045
