"Estadillo","lat","lng","ClaIFN3","SubclaseIFN3","ClaIFN4","SubclaseIFN4","Quality","VCC_m3_ha_IFN2","VCC_total_IFN2","Porc_VCC_IFN2","VCC_m3_ha_IFN3","VCC_total_IFN3","Porc_VCC_IFN3","VCC_m3_ha_IFN4","VCC_total_IFN4","Porc_VCC_IFN4"
73,42.878866,-4.715468,NA,NA,NA,NA,2,5.15863444660197,5.15863444660197,100,NA,NA,NA,NA,NA,NA
77,42.8678215,-4.8501191,NA,NA,"A","4C",2,NA,NA,NA,NA,NA,NA,18.2734776780295,18.2734776780295,100
79,42.86912,-4.764167,"A","4","A","1",2,52.4043397516477,55.14751275982,95.0257538900812,151.871624911627,154.760000649847,98.1336419448877,252.627978209334,296.068758805723,85.3274689394383
79,42.86912,-4.764167,"A","4","A","1",3,1.90707820542997,55.14751275982,3.45814001392181,2.88837573822033,154.760000649847,1.86635805511234,37.7537307154361,296.068758805723,12.751676626648
79,42.86912,-4.764167,"A","4","A","1",4,0.836094802742358,55.14751275982,1.51610609599701,NA,NA,NA,NA,NA,NA
79,42.86912,-4.764167,"A","4","A","1",5,NA,NA,NA,NA,NA,NA,5.6870498809531,296.068758805723,1.92085443391374
80,42.869308,-4.75193,"A","4","A","1",2,NA,NA,NA,NA,NA,NA,2.30130178099209,4.44246279541887,51.8023872561235
80,42.869308,-4.75193,"A","4","A","1",4,NA,NA,NA,0.885254807564602,0.885254807564602,100,2.14116101442678,4.44246279541887,48.1976127438765
81,42.869864,-4.715219,NA,NA,NA,NA,2,64.2869721697442,64.2869721697442,100,NA,NA,NA,NA,NA,NA
82,42.870047,-4.702981,"A","4","A","1",2,36.9169407489783,36.9169407489783,100,149.657105897293,149.657105897293,100,346.69635430818,352.576331345144,98.3322825402003
82,42.870047,-4.702981,"A","4","A","1",3,NA,NA,NA,NA,NA,NA,3.44066625751337,352.576331345144,0.97586421765369
82,42.870047,-4.702981,"A","4","A","1",4,NA,NA,NA,NA,NA,NA,2.43931077945097,352.576331345144,0.691853242146046
89,42.871971,-4.568364,"A","4","A","1",2,28.5959621395684,39.8310920535845,71.7930658318342,44.2352596247229,57.7803479579847,76.5576206929194,111.280943578364,129.663181594191,85.8230857905692
89,42.871971,-4.568364,"A","4","A","1",3,11.2351299140161,39.8310920535845,28.2069341681658,13.5450883332618,57.7803479579847,23.4423793070806,16.4127464019677,129.663181594191,12.657985250844
89,42.871971,-4.568364,"A","4","A","1",4,NA,NA,NA,NA,NA,NA,1.96949161385915,129.663181594191,1.5189289585868
91,42.872304,-4.543886,"A","1","A","1",2,NA,NA,NA,2.37668552262687,7.14195428407084,33.2778036388127,3.21758074426839,24.4598432153398,13.1545436164141
91,42.872304,-4.543886,"A","1","A","1",3,NA,NA,NA,4.76526876144398,7.14195428407084,66.7221963611873,11.5645669672197,24.4598432153398,47.2798082367391
91,42.872304,-4.543886,"A","1","A","1",4,NA,NA,NA,NA,NA,NA,9.67769550385172,24.4598432153398,39.5656481468467
92,42.858965,-4.837318,"A","1",NA,NA,2,128.661967114149,128.661967114149,100,200.646254076734,203.764494116163,98.4696843024813,NA,NA,NA
92,42.858965,-4.837318,"A","1",NA,NA,3,NA,NA,NA,3.1182400394291,203.764494116163,1.53031569751865,NA,NA,NA
93,42.860494,-4.73944,"A","1",NA,NA,2,6.4194777152141,6.4194777152141,100,40.9959486516955,40.9959486516955,100,NA,NA,NA
95,42.860863,-4.714969,"A","4C","A","1",2,NA,NA,NA,2.44803730082958,4.06952059344526,60.155422355464,57.9983570037082,72.085881593692,80.4573041509191
95,42.860863,-4.714969,"A","4C","A","1",3,NA,NA,NA,1.62148329261568,4.06952059344526,39.844577644536,5.39240872727973,72.085881593692,7.48053378562217
95,42.860863,-4.714969,"A","4C","A","1",4,NA,NA,NA,NA,NA,NA,5.62452071161681,72.085881593692,7.80252746761024
