"ID","IDmuni","Municipio","IDComarca","Comarca","EspacioProtegido","FiguraProteccion","AreaHa_EP"
"86",34218,"Villaluenga de la Vega",3403,"Saldaña-Valdavia","No","No",NA
"87",34222,"Villameriel",3403,"Saldaña-Valdavia","No","No",NA
"88",34223,"Villamoronta",3403,"Saldaña-Valdavia","No","No",NA
"89",34228,"Villanuño de Valdavia",3403,"Saldaña-Valdavia","No","No",NA
"90",34229,"Villaprovedo",3404,"Boedo-Ojeda","No","No",NA
"91",34230,"Villarmentero de Campos",3402,"Campos","No","No",NA
"92",34231,"Villarrabé",3403,"Saldaña-Valdavia","No","No",NA
"93",34233,"Villasarracino",3402,"Campos","No","No",NA
"94",34234,"Villasila de Valdavia",3403,"Saldaña-Valdavia","No","No",NA
"95",34236,"Villaturde",3402,"Campos","No","No",NA
"96",34245,"Villota del Páramo",3403,"Saldaña-Valdavia","No","No",NA
"97",34246,"Villovieco",3402,"Campos","No","No",NA
"98",34901,"Osorno la Mayor",3402,"Campos","No","No",NA
"99",34903,"Loma de Ucieza",3402,"Campos","No","No",NA
