"ID","IDmuni","Municipio","IdComarca","Comarca","MUP","tipo_prop","pertenenci","deslindado","amojonado","AreaHa_CO"
"44",34004,"Aguilar de Campoo",3407,"AGUILAR","Valdelobera","E.L.M.","E.L.M. de Canduela","No","No",259.987470824441
"45",34004,"Aguilar de Campoo",3407,"AGUILAR","Ontañón","E.L.M.","E.L.M. de Corvio","No","No",342.394741378184
"46",34004,"Aguilar de Campoo",3407,"AGUILAR","Mesa del Monte","E.L.M.","E.L.M. de Lomilla de Aguilar","No","No",384.215348003479
"47",34004,"Aguilar de Campoo",3407,"AGUILAR","Royal","Ayto.","Ayto. de Aguilar de Campoo","Sí","Sí",612.096222823932
"48",34004,"Aguilar de Campoo",3407,"AGUILAR","Encinedo y Hoyo","E.L.M.","E.L.M. de Pozancos","Sí","Sí",363.862489745566
"49",34004,"Aguilar de Campoo",3407,"AGUILAR","El Soto","E.L.M.","E.L.M. de Nestar","No","No",182.512814390218
"50",34004,"Aguilar de Campoo",3407,"AGUILAR","Lagunillas","Ayto.","Ayto. de Aguilar de Campoo","Sí","Sí",236.48761908423
"51",34004,"Aguilar de Campoo",3407,"AGUILAR","La Peñilla","E.L.M.","E.L.M. de Cordovilla","No","No",243.006752866944
"52",34005,"Alar del Rey",3404,"BOEDO-OJEDA","La Cabrera","E.L.M.","E.L.M. de Becerril del Carpio","No","No",450.628934910055
"53",34005,"Alar del Rey",3404,"BOEDO-OJEDA","La Costana","E.L.M.","E.L.M. de Becerril del Carpio","No","No",114.671827476739
"54",34005,"Alar del Rey",3404,"BOEDO-OJEDA","La Cabrera","E.L.M.","E.L.M. de Nogales de Pisuerga","No","No",274.232580504931
"55",34005,"Alar del Rey",3404,"BOEDO-OJEDA","Cabadilla","E.L.M.","E.L.M. de Olleros de Pisuerga","No","No",3.24762308055384
"56",34005,"Alar del Rey",3404,"BOEDO-OJEDA","Allende","E.L.M.","E.L.M. de Becerril del Carpio","No","No",142.714958056828
"57",34005,"Alar del Rey",3404,"BOEDO-OJEDA","El Carrascal","Ayto.","Ayto. de Prádanos de Ojeda","No","No",3.32483466851393
"58",34005,"Alar del Rey",3404,"BOEDO-OJEDA","Socastillo y Balodomera","E.L.M.","E.L.M. de Becerril del Carpio","No","No",219.978078785985
"59",34005,"Alar del Rey",3404,"BOEDO-OJEDA","La Sudria","E.L.M.","E.L.M. de Becerril del Carpio","No","No",291.310522634051
"60",34005,"Alar del Rey",3404,"BOEDO-OJEDA","La Cabrera","E.L.M.","E.L.M. de Villaescusa de Ecla","No","No",15.9362492197568
"61",34005,"Alar del Rey",3404,"BOEDO-OJEDA","Valdelagos","E.L.M.","E.L.M. de Nogales de Pisuerga","No","No",359.990901470877
"62",34005,"Alar del Rey",3404,"BOEDO-OJEDA","La Hoya","E.L.M.","E.L.M. de Becerril del Carpio","No","No",229.577454492736
"63",34015,"Arconada",3402,"CAMPOS",NA,NA,NA,NA,NA,NA
"64",34020,"Ayuela",3403,"SALDAÑA-VALDAVIA","Páramo y Majada","E.L.M.","E.L.M. de Carbonera","Sí","Sí",4.42570213108982
"65",34020,"Ayuela",3403,"SALDAÑA-VALDAVIA","Trasotero y Rabanillo","Ayto.","Ayto. de Tabanera de Valdavia","No","No",10.6664894934256
"66",34020,"Ayuela",3403,"SALDAÑA-VALDAVIA","Reznalillos","Ayto.","Ayto. de Tabanera de Valdavia","No","No",2.89837261570338
"67",34020,"Ayuela",3403,"SALDAÑA-VALDAVIA","Soto de Abajo","Ayto.","Ayto. de Ayuela","No","No",236.623928580578
"68",34020,"Ayuela",3403,"SALDAÑA-VALDAVIA","Cuesta, Páramo y Picones","E.L.M.","E.L.M. de Valderrabano","No","No",1.99937043609452
"69",34020,"Ayuela",3403,"SALDAÑA-VALDAVIA","Santa María de la Vega","Ayto.","Ayto. de Ayuela","No","No",4.58544810663787
"70",34020,"Ayuela",3403,"SALDAÑA-VALDAVIA","Rodiles","Ayto.","Ayto. de Buenavista de Valdavia","No","No",1.04132448706825
"71",34020,"Ayuela",3403,"SALDAÑA-VALDAVIA","Bascarrión","Entidad Asociativa","Ayto. de Tabanera de Valdavia,Ayto. de Ayuela,E.L.M. de Villasur","No","No",1090.3718101111
"72",34020,"Ayuela",3403,"SALDAÑA-VALDAVIA","Soto de Arriba","Ayto.","Ayto. de Ayuela","No","No",175.547322740056
"73",34020,"Ayuela",3403,"SALDAÑA-VALDAVIA","Cotarro y Matalasmonjas","E.L.M.","E.L.M. de Villasur","Sí","Sí",1.64359349306952
"74",34025,"Bárcena de Campos",3402,"CAMPOS","Arriba","E.L.M.","E.L.M. de Santa Cruz del Monte","No","No",8.59878561600931
"75",34025,"Bárcena de Campos",3402,"CAMPOS","Vallespinoso y Valdelaguna","E.L.M.","E.L.M. de Villameriel","Sí","Sí",3.99426825123015
"76",34025,"Bárcena de Campos",3402,"CAMPOS","Duque","Entidad Asociativa","E.L.M. de Santa Cruz del Monte,Ayto. de Bárcena de Campos","Sí","Sí",248.603004270217
"77",34025,"Bárcena de Campos",3402,"CAMPOS","Riberas del Río Valdavia en Bárcena de Campos","C.A.","C.A. de Castiilla y León","Sí","No",29.0880092203334
"78",34025,"Bárcena de Campos",3402,"CAMPOS","Concejo","Ayto.","Ayto. de Bárcena de Campos","No","No",184.014470362758
"79",34027,"Barruelo de Santullán",3407,"AGUILAR","Arriba","E.L.M.","E.L.M. de Salinas de Pisuerga","No","No",1.17756611318961
"80",34027,"Barruelo de Santullán",3407,"AGUILAR","Las Matas","E.L.M.","E.L.M. de Villanueva de la Torre","No","No",202.785286161622
"81",34027,"Barruelo de Santullán",3407,"AGUILAR","Allende","E.L.M.","E.L.M. de Brañosera","Sí","Sí",28.6380202429927
"82",34027,"Barruelo de Santullán",3407,"AGUILAR","Barbadillo","E.L.M.","E.L.M. de Revilla de Santullan","Sí","Sí",380.691552688685
"83",34027,"Barruelo de Santullán",3407,"AGUILAR","Los Campillos","E.L.M.","E.L.M. de Villabellaco","No","No",422.457605299827
"84",34027,"Barruelo de Santullán",3407,"AGUILAR","La Dehesa","E.L.M.","E.L.M. de Barruelo de Santullán","Sí","Sí",235.272584383571
"85",34027,"Barruelo de Santullán",3407,"AGUILAR","Mata del Cuervo","E.L.M.","E.L.M. de Valberzoso","Sí","Sí",1.44368791084383
"86",34027,"Barruelo de Santullán",3407,"AGUILAR","Pedreras, Lastra, Campanas y Palomera","E.L.M.","E.L.M. de Cillamayor","No","No",113.927362487343
"87",34027,"Barruelo de Santullán",3407,"AGUILAR","El Otero","E.L.M.","E.L.M. de Cillamayor","No","No",145.424860182595
"88",34027,"Barruelo de Santullán",3407,"AGUILAR","Matabuena","E.L.M.","E.L.M. de Matabuena","No","No",247.042352627579
"89",34027,"Barruelo de Santullán",3407,"AGUILAR","Grande (Monte)","E.L.M.","E.L.M. de Barruelo de Santullán","No","No",81.8313566906268
"90",34027,"Barruelo de Santullán",3407,"AGUILAR","Rebollar","E.L.M.","E.L.M. de Bustillo de Santullan","No","No",193.161182550198
"91",34027,"Barruelo de Santullán",3407,"AGUILAR","La Sierra","E.L.M.","E.L.M. de Porquera de Santullan","No","No",311.988010690385
"92",34027,"Barruelo de Santullán",3407,"AGUILAR","Cepeda","E.L.M.","E.L.M. de Verbios","Sí","Sí",184.16587069537
"93",34027,"Barruelo de Santullán",3407,"AGUILAR","Mataespesa","E.L.M.","E.L.M. de Cillamayor","No","No",289.34214103907
"94",34027,"Barruelo de Santullán",3407,"AGUILAR","La Mata","E.L.M.","E.L.M. de Porquera de Santullán","No","No",67.9457128246313
"95",34027,"Barruelo de Santullán",3407,"AGUILAR","La Mata","Ayto.","Ayto. de Brañosera","No","No",8.0394273287703
"96",34027,"Barruelo de Santullán",3407,"AGUILAR","Las Matas","E.L.M.","E.L.M. de Monasterio","No","No",9.48187530922186
"97",34027,"Barruelo de Santullán",3407,"AGUILAR","Mayor","E.L.M.","E.L.M. de Salcedillo","Sí","Sí",3.89908482378027
"98",34027,"Barruelo de Santullán",3407,"AGUILAR","Terradillos","E.L.M.","E.L.M. de Nava de Santullan","No","No",160.568621937163
"99",34027,"Barruelo de Santullán",3407,"AGUILAR","La Mata","E.L.M.","E.L.M. de Valle de Santullan","No","No",3.76696481374349
"100",34028,"Báscones de Ojeda",3404,"BOEDO-OJEDA","Bostal","Ayto.","Ayto. de Báscones de Ojeda","Sí","Sí",471.896477936564
"101",34028,"Báscones de Ojeda",3404,"BOEDO-OJEDA","Indiviso","Ayto.","Ayto. de La Puebla de Valdavia","No","No",2.97967581603361
"102",34028,"Báscones de Ojeda",3404,"BOEDO-OJEDA","Comayancos","Ayto.","Ayto. de Revilla de Collazos","Sí","Sí",8.07867430650947
"103",34028,"Báscones de Ojeda",3404,"BOEDO-OJEDA","Cabomonte y Corralejos","Ayto.","Ayto. de Báscones de Ojeda","No","No",372.611005335313
"104",34028,"Báscones de Ojeda",3404,"BOEDO-OJEDA","Mayor","Ayto.","Ayto. de Buenavista de Valdavia","Sí","Sí",2.71343809205834
"105",34028,"Báscones de Ojeda",3404,"BOEDO-OJEDA","Cuestalavid","Ayto.","Ayto. de La Vid de Ojeda","No","No",2.06453303425373
"106",34028,"Báscones de Ojeda",3404,"BOEDO-OJEDA","Abajo y Arriba","E.L.M.","E.L.M. de Oteros de Boedo","No","No",1.82796582598245
"107",34034,"Boadilla del Camino",3402,"CAMPOS",NA,NA,NA,NA,NA,NA
"108",34037,"Buenavista de Valdavia",3403,"SALDAÑA-VALDAVIA","Mayor","Ayto.","Ayto. de Buenavista de Valdavia","Sí","Sí",922.236390876077
"109",34037,"Buenavista de Valdavia",3403,"SALDAÑA-VALDAVIA","Comayancos","Ayto.","Ayto. de Revilla de Collazos","Sí","Sí",5.15306947781218
"110",34037,"Buenavista de Valdavia",3403,"SALDAÑA-VALDAVIA","Montecillo, Páramo y Cuesta","E.L.M.","E.L.M. de Arenillas de San Pelayo","Sí","Sí",566.75257876737
"111",34037,"Buenavista de Valdavia",3403,"SALDAÑA-VALDAVIA","Cabomonte y Corralejos","Ayto.","Ayto. de Báscones de Ojeda","No","No",5.68286053812284
