"ID","IDmuni","Municipio","Agente","AgenteN","Pies_con_este_dano","Total_pies","Porcentaje_dano"
"1",34004,"Aguilar de Campoo",100,"No se advierten da√±os",657,722,91
"2",34004,"Aguilar de Campoo",311,"Insectos",1,722,0.14
"3",34004,"Aguilar de Campoo",313,"Plantas ep√≠fitas",3,722,0.42
"4",34004,"Aguilar de Campoo",316,"Dominancia",48,722,6.65
"5",34004,"Aguilar de Campoo",321,"Saca de madera",1,722,0.14
"6",34004,"Aguilar de Campoo",322,"Causas antr√≥picas",1,722,0.14
"7",34004,"Aguilar de Campoo",400,"Da√±os abi√≥ticos",9,722,1.25
"8",34004,"Aguilar de Campoo",421,"Fuego",2,722,0.28
"9",34005,"Alar del Rey",100,"No se advierten da√±os",70,87,80.46
"10",34005,"Alar del Rey",316,"Dominancia",17,87,19.54
"11",34020,"Ayuela",100,"No se advierten da√±os",243,248,97.98
"12",34020,"Ayuela",200,"Causas desconocidas",3,248,1.21
"13",34020,"Ayuela",316,"Dominancia",1,248,0.4
"14",34020,"Ayuela",411,"Viento",1,248,0.4
"15",34025,"B√°rcena de Campos",100,"No se advierten da√±os",30,35,85.71
"16",34025,"B√°rcena de Campos",200,"Causas desconocidas",2,35,5.71
"17",34025,"B√°rcena de Campos",310,"Hongos",3,35,8.57
"18",34027,"Barruelo de Santull√°n",100,"No se advierten da√±os",45,68,66.18
"19",34027,"Barruelo de Santull√°n",200,"Causas desconocidas",6,68,8.82
"20",34027,"Barruelo de Santull√°n",316,"Dominancia",16,68,23.53
"21",34027,"Barruelo de Santull√°n",400,"Da√±os abi√≥ticos",1,68,1.47
"22",34037,"Buenavista de Valdavia",100,"No se advierten da√±os",614,738,83.2
"23",34037,"Buenavista de Valdavia",200,"Causas desconocidas",3,738,0.41
"24",34037,"Buenavista de Valdavia",300,"Da√±os bi√≥ticos",12,738,1.63
"25",34037,"Buenavista de Valdavia",311,"Insectos",1,738,0.14
"26",34037,"Buenavista de Valdavia",316,"Dominancia",105,738,14.23
"27",34037,"Buenavista de Valdavia",321,"Saca de madera",3,738,0.41
"28",34041,"Calahorra de Boedo",100,"No se advierten da√±os",78,92,84.78
"29",34041,"Calahorra de Boedo",200,"Causas desconocidas",5,92,5.43
"30",34041,"Calahorra de Boedo",316,"Dominancia",4,92,4.35
"31",34041,"Calahorra de Boedo",421,"Fuego",5,92,5.43
"32",34049,"Castrej√≥n de la Pe√±a",100,"No se advierten da√±os",278,332,83.73
"33",34049,"Castrej√≥n de la Pe√±a",300,"Da√±os bi√≥ticos",1,332,0.3
"34",34049,"Castrej√≥n de la Pe√±a",316,"Dominancia",33,332,9.94
"35",34049,"Castrej√≥n de la Pe√±a",421,"Fuego",19,332,5.72
"36",34049,"CCastrej√≥n de la Pe√±a",423,"Erosi√≥n",1,332,0.3
"37",34055,"Cervatos de la Cueza",100,"No se advierten da√±os",5,5,100
"38",34056,"Cervera de Pisuerga",100,"No se advierten da√±os",854,1088,78.49
"39",34056,"Cervera de Pisuerga",200,"Causas desconocidas",3,1088,0.28
"40",34056,"Cervera de Pisuerga",300,"Da√±os bi√≥ticos",13,1088,1.19
"41",34056,"Cervera de Pisuerga",310,"Hongos",15,1088,1.38
"42",34056,"Cervera de Pisuerga",311,"Insectos",2,1088,0.18
"43",34056,"Cervera de Pisuerga",316,"Dominancia",117,1088,10.75
"44",34056,"Cervera de Pisuerga",321,"Saca de madera",2,1088,0.18
"45",34056,"Cervera de Pisuerga",322,"Causas antr√≥picas",3,1088,0.28
"46",34056,"Cervera de Pisuerga",400,"Da√±os abi√≥ticos",41,1088,3.77
"47",34056,"Cervera de Pisuerga",421,"Fuego",38,1088,3.49
"48",34061,"Collazos de Boedo",100,"No se advierten da√±os",33,34,97.06
"49",34061,"Collazos de Boedo",321,"Saca de madera",1,34,2.94
"50",34062,"Congosto de Valdavia",100,"No se advierten da√±os",442,462,95.67
"51",34062,"Congosto de Valdavia",200,"Causas desconocidas",6,462,1.3
"52",34062,"Congosto de Valdavia",316,"Dominancia",9,462,1.95
"53",34062,"Congosto de Valdavia",321,"Saca de madera",3,462,0.65
"54",34062,"Congosto de Valdavia",322,"Causas antr√≥picas",2,462,0.43
"55",34067,"Dehesa de Montejo",100,"No se advierten da√±os",79,89,88.76
"56",34067,"Dehesa de Montejo",200,"Causas desconocidas",1,89,1.12
"57",34067,"Dehesa de Montejo",311,"Insectos",4,89,4.49
"58",34067,"Dehesa de Montejo",316,"Dominancia",5,89,5.62
"59",34068,"Dehesa de Romanos",100,"No se advierten da√±os",39,44,88.64
"60",34068,"Dehesa de Romanos",316,"Dominancia",3,44,6.82
"61",34068,"Dehesa de Romanos",321,"Saca de madera",2,44,4.55
"62",34071,"Espinosa de Villagonzalo",100,"No se advierten da√±os",57,59,96.61
"63",34071,"Espinosa de Villagonzalo",200,"Causas desconocidas",1,59,1.69
"64",34071,"Espinosa de Villagonzalo",300,"Da√±os bi√≥ticos",1,59,1.69
"65",34073,"Fresno del RÌo",100,"No se advierten da√±os",337,349,96.56
"66",34073,"Fresno del RÌo",200,"Causas desconocidas",1,349,0.29
"67",34073,"Fresno del RÌo",316,"Dominancia",4,349,1.15
"68",34073,"Fresno del RÌo",321,"Saca de madera",1,349,0.29
"69",34073,"Fresno del RÌo",411,"Viento",6,349,1.72
"70",34080,"Guardo",100,"No se advierten da√±os",156,174,89.66
"71",34080,"Guardo",200,"Causas desconocidas",8,174,4.6
"72",34080,"Guardo",310,"Hongos",2,174,1.15
"73",34080,"Guardo",316,"Dominancia",8,174,4.6
