"ID","IDmuni","Especie","N_IFN2","AB_IFN2","VCC_IFN2","N_IFN3","AB_IFN3","VCC_IFN3","N_IFN4","AB_IFN4","VCC_IFN4","EspecieN"
2,34003,25,NA,NA,NA,NA,NA,NA,1.07219013807166,0.0436149232943314,0.270621202895074,"P. nigra"
4,34003,26,NA,NA,NA,0.0056705351175834,0.000342666272724649,0.00177704852417003,0.0652846079757485,0.00736101006830483,0.0461928849663494,"P. pinaster"
5,34003,43,NA,NA,NA,0.280855093883627,0.00868916915075999,0.0517575841099823,1.70705352241864,0.0250400837440767,0.102757529968854,"Q. pyrenaica"
10,34004,21,55.792221955529,0.830950546355652,3.05612836374978,46.5027832717776,0.953933202861219,4.39190952517584,22.6327856795967,0.919348011747694,5.41714301755237,"P. sylvestris"
15,34004,25,41.3447247297161,0.502132337953624,1.50734584783574,50.8590402801436,1.1250587577661,5.00167732221708,57.8394425097535,2.19410238550605,12.9157438912085,"P. nigra"
17,34004,26,11.9732725539608,0.3141340509585,1.2934666251444,7.20565034488071,0.374380448311894,1.87560483276713,5.5354928834665,0.559065927295417,3.5017141731393,"P. pinaster"
20,34004,42,15.242231513403,0.467172559328892,2.15413874739374,16.4076433255852,0.697559333837378,3.81368178844606,9.8317363480633,0.393194184246475,2.31897346324652,"Q. petraea"
21,34004,43,43.7256439117769,0.577264626763546,2.26849109235328,76.731390181324,1.16952165601618,4.74393241607592,122.52669954136,2.01641346029974,8.71056871854076,"Q. pyrenaica"
22,34004,44,3.39000243115503,0.0336580501610636,0.126386981445626,18.7797774230994,0.181656042411039,0.698881736170813,32.672188476157,0.356258284584148,1.31049894183721,"Q. faginea"
32,34005,21,NA,NA,NA,25.1635850771919,0.533715856074796,2.39887526241352,16.9025027724151,0.69295364614245,3.98568928818232,"P. sylvestris"
37,34005,25,51.2141912755095,0.616428683947947,1.83601680177258,49.2485392126489,1.08037570783702,4.77565369862667,78.9328169807725,2.94714350323632,17.2266779478464,"P. nigra"
39,34005,26,17.472396253968,0.455566362338725,1.81949587170586,6.29342791130127,0.348765641738217,1.80300860652019,7.65414622735298,0.761615482766092,4.73081609591825,"P. pinaster"
41,34005,43,NA,NA,NA,25.7748341554269,0.380395521316311,1.51523171830126,65.9570925812005,0.986248392753228,4.28984974529898,"Q. pyrenaica"
42,34005,44,NA,NA,NA,67.5067534131623,0.642656172244049,2.4860171160912,54.9571756475453,0.609510764643379,2.22383906912786,"Q. faginea"
48,34020,21,229.390132133439,4.16682708023458,17.4042417612808,298.225774228901,7.87477246240954,40.1224652414428,244.565931829657,9.81747874163672,58.6385066898836,"P. sylvestris"
49,34020,25,119.598723145713,1.67833265395524,5.93674958852333,59.2076253946323,1.32606675366014,6.08219891024867,35.2347544069077,1.38425949643522,8.42308370258479,"P. nigra"
51,34020,26,45.6501309025467,1.11690729427059,4.60517407157801,9.8113690117211,0.551534623123617,2.86499225231757,3.19360837808759,0.352962385183254,2.23476265882531,"P. pinaster"
53,34020,43,66.9322798961222,0.835990216093176,3.31795768521263,93.6796033602537,1.305787578843,5.0035270256312,141.811161412774,2.18054207532046,9.15063958773831,"Q. pyrenaica"
56,34025,25,NA,NA,NA,167.953763369915,3.9400138299456,17.7402420583757,92.2278928467646,3.42262136772973,19.9271451218173,"P. nigra"
58,34025,26,NA,NA,NA,17.0241857752323,1.00102702720418,5.19205253355258,9.10714220219828,0.901753481112203,5.59531577343791,"P. pinaster"
59,34025,43,NA,NA,NA,19.6206045586938,0.206117308957032,0.725944449369454,70.6359489465037,0.921758740943264,3.55415570847857,"Q. pyrenaica"
65,34027,21,NA,NA,NA,20.0041345165223,0.340727062005927,1.44431145102157,9.9251103221089,0.405362663120991,2.38237244260834,"P. sylvestris"
67,34027,25,NA,NA,NA,6.41777795357845,0.104971065764017,0.381509251882065,20.1683960511139,0.772151854442526,4.54026877043739,"P. nigra"
70,34027,42,43.3458834939061,1.35683612485351,6.09296467823771,34.4912318949274,1.51525843053111,8.08747078299344,34.8867851733105,1.53040031293647,9.06886832552692,"Q. petraea"
71,34027,43,118.258614006347,1.57824282194757,6.2739714908857,177.16177446101,2.66635279069848,10.6080927765174,311.260960289527,5.36425291737536,23.4462388960156,"Q. pyrenaica"
79,34028,21,NA,NA,NA,6.77750994870011,0.17813593002966,0.862671567539902,7.51772057730468,0.30416771020241,1.76002200335141,"P. sylvestris"
81,34028,25,NA,NA,NA,41.21742327735,0.990147991905521,4.56422404600988,37.667226000065,1.43879891311512,8.50408839085569,"P. nigra"
83,34028,26,NA,NA,NA,3.67056960780293,0.222467089110578,1.16244897412107,3.61683494408703,0.372822098807042,2.35421192861294,"P. pinaster"
84,34028,43,NA,NA,NA,146.172126357297,1.91407354874539,6.77542625349471,215.21502799623,3.09262171177639,11.7589988834522,"Q. pyrenaica"
90,34037,21,211.974678540462,3.95236905673681,16.4438799424164,188.56337636365,5.06269508140866,25.6937946517688,143.591955303194,5.75796972102111,34.2416391468019,"P. sylvestris"
92,34037,25,109.632990046361,1.59371301154069,5.84287886288652,110.710216041834,2.65736122476669,12.5078363637174,69.6935907761153,2.67219372724672,15.9185719943192,"P. nigra"
94,34037,26,41.0111492146497,1.00542818317628,4.46362237136277,12.2120244532339,0.745098683495896,3.96956404140701,6.41091204559179,0.665086338986366,4.17251215843769,"P. pinaster"
97,34037,42,7.99379077026708,0.119532735673963,0.471536573385238,NA,NA,NA,NA,NA,NA,"Q. petraea"
