"Estadillo","lng","lat","ClaIFN3","SubclaseIFN3","ClaIFN4","SubclaseIFN4","IDCounty","County","Municipality","IDMunicipality","ProtectedArea","ProtectionStatus","PublicForest","Ownership","BoundMarkers","LegaDemarcated"
104,-4.543662,42.863302,"A","4","A","1",3406,"Cervera","Cervera de Pisuerga",34056,"Montaña Palentina","Parque Natural","Recuencos","E.L.M. de Ruesga","No","No"
105,-4.849284,42.849767,"A","1",NA,NA,3405,"Guardo","Velilla del Río Carrión",34199,"","","Baldíos de Arbillos","Ayto. de Velilla del Río Carrión","Sí","No"
106,-4.837051,42.849964,"A","1",NA,NA,3405,"Guardo","Velilla del Río Carrión",34199,"","","Baldíos de Arbillos","Ayto. de Velilla del Río Carrión","Sí","No"
107,-4.751421,42.851306,"A","1",NA,NA,3405,"Guardo","Velilla del Río Carrión",34199,"Montaña Palentina","Parque Natural","La Mata","Ayto. de Velilla del Río Carrión","No","No"
108,-4.678019,42.852406,"A","1","A","1",3405,"Guardo","Santibáñez de la Peña",34171,"","","Peña Blanca, Fuente Vieja y Miranda Corcal","E.L.M. de Velilla de la Peña","No","No"
112,-4.689762,42.834223,"A","1",NA,NA,3405,"Guardo","Santibáñez de la Peña",34171,"","","Carpín de Montero y otros","E.L.M. de Villaverde de la Peña","No","No"
128,-4.496672,42.94497,"A","4","A","1",3406,"Cervera","Cervera de Pisuerga",34056,"Montaña Palentina","Parque Natural","Carracedo","Ayto. de Cervera de Pisuerga","No","No"
129,-4.484419,42.94513,"A","1",NA,NA,3406,"Cervera","Cervera de Pisuerga",34056,"Montaña Palentina","Parque Natural","La Loma y Ballabar","E.L.M. deVerdeña, E.L.M. de Estalaya","No","No"
144,-4.459274,42.918438,"A","1",NA,NA,3406,"Cervera","Cervera de Pisuerga",34056,"Montaña Palentina","Parque Natural","Montecillo y Quemado","E.L.M. de San Felices de Castilleria","No","No"
145,-4.447025,42.918594,"A","1",NA,NA,3406,"Cervera","Cervera de Pisuerga",34056,"Montaña Palentina","Parque Natural","Montecillo y Quemado","E.L.M. de San Felices de Castilleria","No","No"
146,-4.422528,42.918901,"A","4","A","1",3406,"Cervera","Cervera de Pisuerga",34056,"Montaña Palentina","Parque Natural","Montecillo y Quemado","E.L.M. de San Felices de Castilleria","No","No"
