"ID","IDmuni","Calidad","VCC_m3_ha_IFN2","VCC_total_IFN2","Porc_VCC_IFN2","VCC_m3_ha_IFN3","VCC_total_IFN3","Porc_VCC_IFN3","VCC_m3_ha_IFN4","VCC_total_IFN4","Porc_VCC_IFN4"
"1",34004,1,4.11202597040666,86.249333597997,4.76760317890984,NA,NA,NA,NA,NA,NA
"2",34004,2,52.6676831006909,86.249333597997,61.0644522149839,87.7887888947396,104.332920575452,84.1429420460363,108.210617474168,155.230514184284,69.7096302507278
"3",34004,3,17.0496033604014,86.249333597997,19.7678088040292,8.56165526684509,104.332920575452,8.20609182568931,37.2824087276301,155.230514184284,24.0174484530598
"4",34004,4,4.36760111417412,86.249333597997,5.06392447567334,6.12330476304045,104.332920575452,5.86900541963854,4.78989143749158,155.230514184284,3.08566357759094
"5",34004,5,4.51583666768162,86.249333597997,5.23579311201367,1.85917165082684,104.332920575452,1.78196070863588,4.94759654499436,155.230514184284,3.18725771862146
"6",34004,6,3.53658338464231,86.249333597997,4.10041821439005,NA,NA,NA,NA,NA,NA
"7",34005,2,11.6517128970976,16.4768567799873,70.7156289132142,38.3920839485887,47.279562615495,81.2022823916869,65.2830368789542,112.364048489191,58.0995770059264
"8",34005,3,4.8251438828897,16.4768567799873,29.2843710867857,8.88747866690631,47.279562615495,18.7977176083131,42.9782551671131,112.364048489191,38.2491159271885
"9",34005,5,NA,NA,NA,NA,NA,NA,4.10275644312398,112.364048489191,3.65130706688504
"10",34020,2,87.2545791172006,90.0380229406727,96.908590690284,136.742192975914,139.898902533477,97.743578040716,177.362390680329,177.362390680329,100
"11",34020,3,2.78344382347215,90.0380229406727,3.09140930971596,3.15670955756267,139.898902533477,2.25642195928399,NA,NA,NA
"12",34025,2,10.5891699154173,25.1252500172785,42.1455305246123,50.4619939036925,62.4787905297166,80.7665985142452,41.1377522780501,63.1646687330842,65.1277891630945
"13",34025,3,7.42357319092624,25.1252500172785,29.5462659508705,3.57665083891782,62.4787905297166,5.72458398857236,20.5074570284239,63.1646687330842,32.4666580855234
"14",34025,4,5.73579540918829,25.1252500172785,22.8288092864502,NA,NA,NA,1.51945942661011,63.1646687330842,2.40555275138212
"15",34025,5,1.3767115017467,25.1252500172785,5.47939423806705,8.4401457871063,62.4787905297166,13.5088174971824,NA,NA,NA
