"Estadillo","CoorX","CoorY","IdDamageNFI4","DamageNFI4","TreesDamNFI4","TotalTreesNFI4","PercentageDamageNFI4"
47,368892,4754814,100,"No damage observed",48,51,94.12
47,368892,4754814,316,"Competition",3,51,5.88
49,369907,4753795,100,"No damage observed",22,31,70.97
49,369907,4753795,200,"Unknown causes",3,31,9.68
49,369907,4753795,316,"Competition",5,31,16.13
49,369907,4753795,421,"Fire",1,31,3.23
54,357918,4751766,100,"No damage observed",22,26,84.62
54,357918,4751766,200,"Unknown causes",2,26,7.69
54,357918,4751766,316,"Competition",2,26,7.69
66,365937,4749769,100,"No damage observed",7,9,77.78
66,365937,4749769,200,"Unknown causes",1,9,11.11
66,365937,4749769,312,"Mistletoe and similar",1,9,11.11
69,349879,4748713,100,"No damage observed",13,18,72.22
69,349879,4748713,200,"Unknown causes",1,18,5.56
69,349879,4748713,314,"Wildlife",4,18,22.22
72,357892,4748794,100,"No damage observed",39,41,95.12
72,357892,4748794,200,"Unknown causes",2,41,4.88
90,372951,4747849,100,"No damage observed",31,32,96.88
90,372951,4747849,316,"Competition",1,32,3.12
94,358890,4746728,100,"No damage observed",57,59,96.61
94,358890,4746728,316,"Competition",1,59,1.69
94,358890,4746728,400,"Abiotic damage",1,59,1.69
109,363930,4745778,100,"No damage observed",23,33,69.7
109,363930,4745778,200,"Unknown causes",1,33,3.03
109,363930,4745778,300,"Biotic damage",1,33,3.03
109,363930,4745778,310,"Fungi",6,33,18.18
109,363930,4745778,316,"Competition",2,33,6.06
111,348850,4744750,100,"No damage observed",36,39,92.31
111,348850,4744750,200,"Unknown causes",1,39,2.56
111,348850,4744750,322,"Anthropogenic causes",2,39,5.13
113,363902,4743810,100,"No damage observed",18,22,81.82
113,363902,4743810,310,"Fungi",1,22,4.55
113,363902,4743810,316,"Competition",1,22,4.55
113,363902,4743810,421,"Fire",2,22,9.09
123,381873,4757828,100,"No damage observed",43,52,82.69
123,381873,4757828,200,"Unknown causes",3,52,5.77
