"Estadillo","CoorX","CoorY","IdDamageNFI4","DamageNFI4","TreesDamNFI4","TotalTreesNFI4","PercentageDamageNFI4"
123,381873,4757828,316,"Competition",6,52,11.54
125,378901,4756814,100,"No damage observed",23,25,92
125,378901,4756814,316,"Competition",2,25,8
131,385851,4755778,100,"No damage observed",13,28,46.43
131,385851,4755778,200,"Unknown causes",11,28,39.29
131,385851,4755778,312,"Mistletoe and similar",2,28,7.14
131,385851,4755778,316,"Competition",1,28,3.57
131,385851,4755778,400,"Abiotic damage",1,28,3.57
133,377862,4754828,100,"No damage observed",42,60,70
133,377862,4754828,200,"Unknown causes",8,60,13.33
133,377862,4754828,316,"Competition",9,60,15
133,377862,4754828,400,"Abiotic damage",1,60,1.67
151,376861,4751808,100,"No damage observed",48,61,78.69
151,376861,4751808,200,"Unknown causes",5,61,8.2
151,376861,4751808,316,"Competition",8,61,13.11
154,380891,4751806,100,"No damage observed",12,23,52.17
154,380891,4751806,300,"Biotic damage",6,23,26.09
154,380891,4751806,316,"Competition",5,23,21.74
160,377887,4750782,100,"No damage observed",24,27,88.89
160,377887,4750782,200,"Unknown causes",1,27,3.7
160,377887,4750782,316,"Competition",2,27,7.41
162,396931,4750791,100,"No damage observed",31,43,72.09
162,396931,4750791,200,"Unknown causes",4,43,9.3
162,396931,4750791,316,"Competition",7,43,16.28
162,396931,4750791,400,"Abiotic damage",1,43,2.33
168,398912,4749759,100,"No damage observed",34,41,82.93
168,398912,4749759,200,"Unknown causes",2,41,4.88
168,398912,4749759,300,"Biotic damage",3,41,7.32
168,398912,4749759,316,"Competition",2,41,4.88
172,375895,4747785,100,"No damage observed",21,23,91.3
172,375895,4747785,200,"Unknown causes",1,23,4.35
172,375895,4747785,316,"Competition",1,23,4.35
173,376880,4747795,100,"No damage observed",4,14,28.57
173,376880,4747795,200,"Unknown causes",10,14,71.43
174,379899,4747817,100,"No damage observed",9,17,52.94
174,379899,4747817,200,"Unknown causes",1,17,5.88
174,379899,4747817,400,"Abiotic damage",7,17,41.18
175,381914,4747807,200,"Unknown causes",1,2,50
175,381914,4747807,400,"Abiotic damage",1,2,50
181,398898,4746779,100,"No damage observed",11,24,45.83
181,398898,4746779,200,"Unknown causes",3,24,12.5
181,398898,4746779,300,"Biotic damage",3,24,12.5
181,398898,4746779,316,"Competition",4,24,16.67
181,398898,4746779,400,"Abiotic damage",3,24,12.5
184,377874,4745777,100,"No damage observed",13,19,68.42
184,377874,4745777,316,"Competition",6,19,31.58
190,381869,4743777,100,"No damage observed",14,36,38.89
190,381869,4743777,200,"Unknown causes",8,36,22.22
190,381869,4743777,316,"Competition",4,36,11.11
190,381869,4743777,421,"Fire",10,36,27.78
193,345924,4743793,100,"No damage observed",44,57,77.19
193,345924,4743793,200,"Unknown causes",2,57,3.51
193,345924,4743793,300,"Biotic damage",5,57,8.77
193,345924,4743793,310,"Fungi",1,57,1.75
193,345924,4743793,316,"Competition",5,57,8.77
194,346920,4743814,100,"No damage observed",24,31,77.42
194,346920,4743814,300,"Biotic damage",1,31,3.23
194,346920,4743814,310,"Fungi",6,31,19.35
200,345856,4735793,100,"No damage observed",28,30,93.33
200,345856,4735793,321,"Logging",2,30,6.67
203,346995,4734838,100,"No damage observed",36,43,83.72
203,346995,4734838,200,"Unknown causes",2,43,4.65
203,346995,4734838,322,"Anthropogenic causes",5,43,11.63
205,345868,4733795,100,"No damage observed",37,40,92.5
205,345868,4733795,311,"Insects",2,40,5
205,345868,4733795,322,"Anthropogenic causes",1,40,2.5
211,346963,4729817,100,"No damage observed",2,22,9.09
211,346963,4729817,311,"Insects",20,22,90.91
213,345887,4728809,311,"Insects",18,20,90
213,345887,4728809,316,"Competition",1,20,5
213,345887,4728809,321,"Logging",1,20,5
215,347873,4728789,100,"No damage observed",2,15,13.33
215,347873,4728789,310,"Fungi",1,15,6.67
215,347873,4728789,311,"Insects",12,15,80
217,346936,4727784,100,"No damage observed",16,28,57.14
217,346936,4727784,311,"Insects",11,28,39.29
217,346936,4727784,321,"Logging",1,28,3.57
219,344871,4726777,100,"No damage observed",18,27,66.67
219,344871,4726777,311,"Insects",9,27,33.33
227,373885,4739823,100,"No damage observed",3,5,60
227,373885,4739823,200,"Unknown causes",2,5,40
229,361861,4737796,100,"No damage observed",13,18,72.22
229,361861,4737796,200,"Unknown causes",5,18,27.78
234,357904,4735777,100,"No damage observed",22,34,64.71
234,357904,4735777,200,"Unknown causes",12,34,35.29
236,359901,4735801,100,"No damage observed",26,31,83.87
236,359901,4735801,200,"Unknown causes",3,31,9.68
236,359901,4735801,310,"Fungi",2,31,6.45
241,352865,4734813,100,"No damage observed",34,36,94.44
241,352865,4734813,200,"Unknown causes",1,36,2.78
241,352865,4734813,322,"Anthropogenic causes",1,36,2.78
242,353876,4734814,100,"No damage observed",28,28,100
250,352892,4733753,100,"No damage observed",25,25,100
252,359878,4733793,100,"No damage observed",18,24,75
252,359878,4733793,200,"Unknown causes",5,24,20.83
252,359878,4733793,316,"Competition",1,24,4.17
255,369882,4733786,100,"No damage observed",30,32,93.75
255,369882,4733786,321,"Logging",2,32,6.25
259,353892,4732804,100,"No damage observed",29,33,87.88
259,353892,4732804,200,"Unknown causes",1,33,3.03
259,353892,4732804,311,"Insects",1,33,3.03
259,353892,4732804,321,"Logging",2,33,6.06
260,369881,4732783,100,"No damage observed",26,32,81.25
260,369881,4732783,200,"Unknown causes",1,32,3.12
260,369881,4732783,316,"Competition",3,32,9.38
260,369881,4732783,322,"Anthropogenic causes",2,32,6.25
267,354892,4730794,100,"No damage observed",27,28,96.43
267,354892,4730794,322,"Anthropogenic causes",1,28,3.57
277,370905,4729765,100,"No damage observed",23,26,88.46
277,370905,4729765,316,"Competition",2,26,7.69
277,370905,4729765,322,"Anthropogenic causes",1,26,3.85
280,356902,4728782,100,"No damage observed",32,32,100
281,357857,4728757,100,"No damage observed",26,30,86.67
281,357857,4728757,322,"Anthropogenic causes",4,30,13.33
283,355888,4727755,100,"No damage observed",22,23,95.65
283,355888,4727755,200,"Unknown causes",1,23,4.35
290,367892,4727794,100,"No damage observed",9,15,60
290,367892,4727794,200,"Unknown causes",5,15,33.33
290,367892,4727794,316,"Competition",1,15,6.67
293,356886,4726774,100,"No damage observed",39,43,90.7
293,356886,4726774,200,"Unknown causes",2,43,4.65
293,356886,4726774,316,"Competition",2,43,4.65
295,358886,4726778,100,"No damage observed",23,23,100
297,361863,4726789,100,"No damage observed",42,45,93.33
297,361863,4726789,316,"Competition",2,45,4.44
297,361863,4726789,322,"Anthropogenic causes",1,45,2.22
298,362873,4726785,100,"No damage observed",19,19,100
301,355872,4725777,100,"No damage observed",33,33,100
303,357880,4725784,100,"No damage observed",19,21,90.48
303,357880,4725784,322,"Anthropogenic causes",2,21,9.52
308,363877,4725797,100,"No damage observed",13,18,72.22
308,363877,4725797,200,"Unknown causes",5,18,27.78
309,365914,4725803,100,"No damage observed",14,16,87.5
309,365914,4725803,200,"Unknown causes",2,16,12.5
310,369891,4725818,100,"No damage observed",16,22,72.73
310,369891,4725818,316,"Competition",6,22,27.27
312,371910,4725776,100,"No damage observed",18,18,100
314,379922,4741791,200,"Unknown causes",4,4,100
317,395892,4739813,100,"No damage observed",38,38,100
323,392897,4737784,100,"No damage observed",20,29,68.97
323,392897,4737784,310,"Fungi",1,29,3.45
323,392897,4737784,311,"Insects",7,29,24.14
323,392897,4737784,316,"Competition",1,29,3.45
324,393919,4737785,100,"No damage observed",30,33,90.91
324,393919,4737785,310,"Fungi",1,33,3.03
324,393919,4737785,321,"Logging",1,33,3.03
324,393919,4737785,322,"Anthropogenic causes",1,33,3.03
328,391892,4735793,100,"No damage observed",23,39,58.97
328,391892,4735793,200,"Unknown causes",9,39,23.08
328,391892,4735793,312,"Mistletoe and similar",1,39,2.56
328,391892,4735793,316,"Competition",6,39,15.38
329,393907,4735792,100,"No damage observed",1,7,14.29
329,393907,4735792,300,"Biotic damage",4,7,57.14
329,393907,4735792,316,"Competition",1,7,14.29
329,393907,4735792,400,"Abiotic damage",1,7,14.29
331,377904,4734780,100,"No damage observed",36,41,87.8
331,377904,4734780,316,"Competition",4,41,9.76
331,377904,4734780,411,"Wind",1,41,2.44
338,385903,4733807,300,"Biotic damage",23,24,95.83
338,385903,4733807,311,"Insects",1,24,4.17
345,399933,4732794,100,"No damage observed",49,51,96.08
345,399933,4732794,200,"Unknown causes",1,51,1.96
345,399933,4732794,316,"Competition",1,51,1.96
352,395886,4729801,100,"No damage observed",17,17,100
354,397911,4729768,100,"No damage observed",37,42,88.1
354,397911,4729768,200,"Unknown causes",3,42,7.14
354,397911,4729768,300,"Biotic damage",1,42,2.38
354,397911,4729768,316,"Competition",1,42,2.38
363,389904,4726785,100,"No damage observed",1,51,1.96
363,389904,4726785,311,"Insects",48,51,94.12
363,389904,4726785,316,"Competition",2,51,3.92
365,391912,4726792,100,"No damage observed",22,27,81.48
365,391912,4726792,311,"Insects",2,27,7.41
365,391912,4726792,316,"Competition",3,27,11.11
368,376882,4725806,100,"No damage observed",30,32,93.75
368,376882,4725806,316,"Competition",1,32,3.12
368,376882,4725806,321,"Logging",1,32,3.12
371,409896,4741812,100,"No damage observed",30,45,66.67
371,409896,4741812,200,"Unknown causes",1,45,2.22
371,409896,4741812,316,"Competition",11,45,24.44
371,409896,4741812,321,"Logging",2,45,4.44
371,409896,4741812,400,"Abiotic damage",1,45,2.22
382,345937,4724840,100,"No damage observed",18,37,48.65
382,345937,4724840,200,"Unknown causes",13,37,35.14
382,345937,4724840,310,"Fungi",1,37,2.7
382,345937,4724840,311,"Insects",3,37,8.11
382,345937,4724840,316,"Competition",2,37,5.41
384,345955,4723788,100,"No damage observed",11,23,47.83
384,345955,4723788,311,"Insects",12,23,52.17
386,345918,4722804,100,"No damage observed",19,26,73.08
386,345918,4722804,311,"Insects",7,26,26.92
398,347903,4719775,100,"No damage observed",26,30,86.67
398,347903,4719775,311,"Insects",4,30,13.33
402,344928,4717802,100,"No damage observed",12,35,34.29
402,344928,4717802,311,"Insects",23,35,65.71
404,344906,4716775,100,"No damage observed",11,31,35.48
404,344906,4716775,311,"Insects",19,31,61.29
404,344906,4716775,316,"Competition",1,31,3.23
407,344905,4714759,100,"No damage observed",30,30,100
411,345899,4710808,311,"Insects",9,9,100
412,346899,4710829,100,"No damage observed",12,32,37.5
412,346899,4710829,311,"Insects",20,32,62.5
418,356864,4724825,100,"No damage observed",29,29,100
424,371876,4724791,100,"No damage observed",21,22,95.45
424,371876,4724791,316,"Competition",1,22,4.55
431,370880,4723808,100,"No damage observed",31,33,93.94
431,370880,4723808,300,"Biotic damage",1,33,3.03
431,370880,4723808,311,"Insects",1,33,3.03
436,355869,4722843,100,"No damage observed",30,32,93.75
436,355869,4722843,311,"Insects",2,32,6.25
439,364896,4722817,100,"No damage observed",25,27,92.59
439,364896,4722817,200,"Unknown causes",1,27,3.7
439,364896,4722817,316,"Competition",1,27,3.7
452,360862,4720787,100,"No damage observed",24,24,100
453,366901,4720793,100,"No damage observed",26,27,96.3
453,366901,4720793,316,"Competition",1,27,3.7
454,370877,4720814,100,"No damage observed",2,13,15.38
454,370877,4720814,300,"Biotic damage",11,13,84.62
458,362936,4719770,100,"No damage observed",2,24,8.33
458,362936,4719770,200,"Unknown causes",22,24,91.67
461,371894,4719803,100,"No damage observed",15,18,83.33
461,371894,4719803,311,"Insects",2,18,11.11
461,371894,4719803,316,"Competition",1,18,5.56
465,353868,4718832,100,"No damage observed",22,28,78.57
465,353868,4718832,200,"Unknown causes",3,28,10.71
465,353868,4718832,316,"Competition",2,28,7.14
465,353868,4718832,400,"Abiotic damage",1,28,3.57
472,354883,4717798,100,"No damage observed",22,31,70.97
472,354883,4717798,200,"Unknown causes",1,31,3.23
472,354883,4717798,310,"Fungi",1,31,3.23
472,354883,4717798,311,"Insects",4,31,12.9
472,354883,4717798,316,"Competition",3,31,9.68
475,354882,4716797,100,"No damage observed",21,22,95.45
475,354882,4716797,322,"Anthropogenic causes",1,22,4.55
478,370892,4716793,100,"No damage observed",18,18,100
479,371880,4716791,100,"No damage observed",16,21,76.19
479,371880,4716791,200,"Unknown causes",1,21,4.76
479,371880,4716791,300,"Biotic damage",1,21,4.76
479,371880,4716791,311,"Insects",2,21,9.52
479,371880,4716791,321,"Logging",1,21,4.76
486,371893,4714777,100,"No damage observed",27,37,72.97
486,371893,4714777,311,"Insects",2,37,5.41
486,371893,4714777,316,"Competition",1,37,2.7
486,371893,4714777,322,"Anthropogenic causes",7,37,18.92
490,361938,4713829,100,"No damage observed",10,26,38.46
490,361938,4713829,200,"Unknown causes",14,26,53.85
490,361938,4713829,316,"Competition",2,26,7.69
495,357928,4712810,100,"No damage observed",22,23,95.65
495,357928,4712810,200,"Unknown causes",1,23,4.35
499,365895,4711778,100,"No damage observed",18,22,81.82
499,365895,4711778,310,"Fungi",1,22,4.55
499,365895,4711778,311,"Insects",3,22,13.64
504,347892,4709783,100,"No damage observed",12,33,36.36
504,347892,4709783,311,"Insects",21,33,63.64
508,368879,4708799,100,"No damage observed",17,30,56.67
508,368879,4708799,200,"Unknown causes",1,30,3.33
508,368879,4708799,310,"Fungi",1,30,3.33
508,368879,4708799,311,"Insects",9,30,30
508,368879,4708799,316,"Competition",2,30,6.67
514,368910,4707768,100,"No damage observed",20,30,66.67
514,368910,4707768,311,"Insects",6,30,20
514,368910,4707768,316,"Competition",3,30,10
514,368910,4707768,321,"Logging",1,30,3.33
527,381904,4719769,100,"No damage observed",27,29,93.1
527,381904,4719769,321,"Logging",2,29,6.9
528,375897,4717807,100,"No damage observed",5,5,100
530,375915,4716812,100,"No damage observed",15,38,39.47
530,375915,4716812,200,"Unknown causes",2,38,5.26
530,375915,4716812,311,"Insects",20,38,52.63
530,375915,4716812,322,"Anthropogenic causes",1,38,2.63
532,376914,4715806,100,"No damage observed",3,15,20
532,376914,4715806,200,"Unknown causes",3,15,20
532,376914,4715806,310,"Fungi",6,15,40
532,376914,4715806,311,"Insects",3,15,20
534,375886,4714758,100,"No damage observed",22,30,73.33
534,375886,4714758,311,"Insects",7,30,23.33
534,375886,4714758,316,"Competition",1,30,3.33
536,381923,4714793,100,"No damage observed",19,26,73.08
536,381923,4714793,310,"Fungi",1,26,3.85
536,381923,4714793,311,"Insects",4,26,15.38
536,381923,4714793,316,"Competition",2,26,7.69
537,382949,4714815,100,"No damage observed",44,46,95.65
537,382949,4714815,316,"Competition",2,46,4.35
539,375907,4713789,100,"No damage observed",25,34,73.53
539,375907,4713789,310,"Fungi",3,34,8.82
539,375907,4713789,311,"Insects",5,34,14.71
539,375907,4713789,411,"Wind",1,34,2.94
542,380917,4713787,100,"No damage observed",14,21,66.67
542,380917,4713787,310,"Fungi",4,21,19.05
542,380917,4713787,311,"Insects",3,21,14.29
549,383915,4712820,100,"No damage observed",22,31,70.97
549,383915,4712820,200,"Unknown causes",3,31,9.68
549,383915,4712820,300,"Biotic damage",2,31,6.45
549,383915,4712820,311,"Insects",4,31,12.9
553,376886,4710778,100,"No damage observed",6,26,23.08
553,376886,4710778,310,"Fungi",3,26,11.54
553,376886,4710778,311,"Insects",17,26,65.38
555,376889,4709803,100,"No damage observed",7,13,53.85
555,376889,4709803,200,"Unknown causes",1,13,7.69
555,376889,4709803,311,"Insects",5,13,38.46
557,375873,4708781,311,"Insects",29,30,96.67
557,375873,4708781,316,"Competition",1,30,3.33
576,345836,4697773,100,"No damage observed",29,30,96.67
576,345836,4697773,316,"Competition",1,30,3.33
578,346837,4696847,100,"No damage observed",2,19,10.53
578,346837,4696847,200,"Unknown causes",1,19,5.26
578,346837,4696847,311,"Insects",16,19,84.21
581,347913,4706774,100,"No damage observed",5,38,13.16
581,347913,4706774,200,"Unknown causes",4,38,10.53
581,347913,4706774,311,"Insects",28,38,73.68
581,347913,4706774,316,"Competition",1,38,2.63
599,347828,4694857,100,"No damage observed",29,35,82.86
599,347828,4694857,200,"Unknown causes",1,35,2.86
599,347828,4694857,311,"Insects",4,35,11.43
599,347828,4694857,316,"Competition",1,35,2.86
602,347874,4692812,100,"No damage observed",4,27,14.81
602,347874,4692812,200,"Unknown causes",3,27,11.11
602,347874,4692812,311,"Insects",20,27,74.07
623,383887,4701819,100,"No damage observed",7,7,100
627,383918,4700770,100,"No damage observed",14,16,87.5
627,383918,4700770,200,"Unknown causes",2,16,12.5
