"Estadillo","CoorX","CoorY","IdDamageNFI3","DamageNFI3","TreesDamNFI3","TotalTreesNFI3","PercentageDamageNFI3"
293,356886,4726774,100,"No damage observed",26,28,92.86
293,356886,4726774,200,"Unknown causes",2,28,7.14
295,358886,4726778,100,"No damage observed",37,37,100
297,361863,4726789,100,"No damage observed",33,34,97.06
297,361863,4726789,316,"Competition",1,34,2.94
298,362873,4726785,100,"No damage observed",27,27,100
301,355872,4725777,100,"No damage observed",43,44,97.73
301,355872,4725777,200,"Unknown causes",1,44,2.27
303,357880,4725784,100,"No damage observed",22,24,91.67
303,357880,4725784,322,"Anthropogenic causes",2,24,8.33
308,363877,4725797,100,"No damage observed",22,28,78.57
308,363877,4725797,200,"Unknown causes",3,28,10.71
308,363877,4725797,316,"Competition",3,28,10.71
309,365914,4725803,100,"No damage observed",6,8,75
309,365914,4725803,316,"Competition",2,8,25
310,369891,4725818,100,"No damage observed",15,17,88.24
310,369891,4725818,316,"Competition",1,17,5.88
310,369891,4725818,321,"Logging",1,17,5.88
312,371910,4725776,100,"No damage observed",18,24,75
312,371910,4725776,316,"Competition",6,24,25
314,379922,4741791,100,"No damage observed",1,2,50
314,379922,4741791,200,"Unknown causes",1,2,50
317,395892,4739813,100,"No damage observed",42,43,97.67
317,395892,4739813,316,"Competition",1,43,2.33
323,392897,4737784,100,"No damage observed",29,30,96.67
323,392897,4737784,316,"Competition",1,30,3.33
324,393919,4737785,100,"No damage observed",33,34,97.06
324,393919,4737785,321,"Logging",1,34,2.94
328,391892,4735793,100,"No damage observed",19,31,61.29
328,391892,4735793,316,"Competition",12,31,38.71
329,393907,4735792,100,"No damage observed",2,3,66.67
329,393907,4735792,400,"Abiotic damage",1,3,33.33
331,377904,4734780,100,"No damage observed",25,28,89.29
331,377904,4734780,316,"Competition",3,28,10.71
338,385903,4733807,100,"No damage observed",7,11,63.64
338,385903,4733807,316,"Competition",4,11,36.36
345,399933,4732794,100,"No damage observed",33,33,100
352,395886,4729801,100,"No damage observed",9,11,81.82
352,395886,4729801,400,"Abiotic damage",2,11,18.18
354,397911,4729768,100,"No damage observed",31,31,100
363,389904,4726785,100,"No damage observed",32,37,86.49
363,389904,4726785,316,"Competition",5,37,13.51
365,391912,4726792,100,"No damage observed",18,21,85.71
365,391912,4726792,316,"Competition",3,21,14.29
368,376882,4725806,100,"No damage observed",28,29,96.55
368,376882,4725806,321,"Logging",1,29,3.45
371,409896,4741812,100,"No damage observed",42,44,95.45
