"Estadillo","lat","lng","ClaIFN3","SubclaseIFN3","ClaIFN4","SubclaseIFN4","IdDamageNFI3","DamageNFI3","TreesDamNFI3","TotalTreesNFI3","PercentageDamageNFI3"
22,42.857966,-4.898488,"A","4","A","1",100,"No damage observed",15,25,60
22,42.857966,-4.898488,"A","4","A","1",310,"Fungi",6,25,24
22,42.857966,-4.898488,"A","4","A","1",316,"Competition",4,25,16
24,42.84937112,-4.88538975,"A","1","A","1",100,"No damage observed",2,2,100
25,42.849569,-4.861516,"A","1",NA,NA,310,"Fungi",1,1,100
51,42.917313,-4.54501,"A","4","A","1",100,"No damage observed",43,44,97.73
51,42.917313,-4.54501,"A","4","A","1",310,"Fungi",1,44,2.27
52,42.904935,-4.777437,"A","1","A","1",100,"No damage observed",19,22,86.36
52,42.904935,-4.777437,"A","1","A","1",300,"Biotic damage",2,22,9.09
52,42.904935,-4.777437,"A","1","A","1",316,"Competition",1,22,4.55
53,42.905124,-4.765193,"A","1",NA,NA,100,"No damage observed",9,16,56.25
53,42.905124,-4.765193,"A","1",NA,NA,300,"Biotic damage",2,16,12.5
53,42.905124,-4.765193,"A","1",NA,NA,310,"Fungi",5,16,31.25
57,42.907978,-4.569276,"A","4C",NA,NA,100,"No damage observed",2,2,100
58,42.896684,-4.72821,"A","1",NA,NA,100,"No damage observed",45,47,95.74
58,42.896684,-4.72821,"A","1",NA,NA,314,"Wild fauna",1,47,2.13
58,42.896684,-4.72821,"A","1",NA,NA,316,"Competition",1,47,2.13
59,42.896868,-4.715967,"A","3E",NA,NA,100,"No damage observed",9,9,100
60,42.89766952,-4.64260042,"A","1","A","1",100,"No damage observed",12,20,60
60,42.89766952,-4.64260042,"A","1","A","1",300,"Biotic damage",8,20,40
62,42.887497,-4.740199,"A","4","A","1",100,"No damage observed",37,37,100
67,42.890308,-4.544335,"A","1",NA,NA,100,"No damage observed",15,20,75
67,42.890308,-4.544335,"A","1",NA,NA,310,"Fungi",5,20,25
71,42.878309,-4.752185,"A","1",NA,NA,100,"No damage observed",37,38,97.37
71,42.878309,-4.752185,"A","1",NA,NA,321,"Logging operations",1,38,2.63
79,42.86912,-4.764167,"A","4","A","1",100,"No damage observed",35,36,97.22
79,42.86912,-4.764167,"A","4","A","1",316,"Competition",1,36,2.78
80,42.869308,-4.75193,"A","4","A","1",400,"Abiotic damage",1,1,100
82,42.870047,-4.702981,"A","4","A","1",100,"No damage observed",45,45,100
89,42.871971,-4.568364,"A","4","A","1",100,"No damage observed",20,25,80
89,42.871971,-4.568364,"A","4","A","1",310,"Fungi",3,25,12
89,42.871971,-4.568364,"A","4","A","1",316,"Competition",2,25,8
91,42.872304,-4.543886,"A","1","A","1",100,"No damage observed",1,3,33.33
91,42.872304,-4.543886,"A","1","A","1",310,"Fungi",2,3,66.67
92,42.858965,-4.837318,"A","1",NA,NA,100,"No damage observed",49,51,96.08
92,42.858965,-4.837318,"A","1",NA,NA,316,"Competition",2,51,3.92
93,42.860494,-4.73944,"A","1",NA,NA,100,"No damage observed",18,18,100
95,42.860863,-4.714969,"A","4C","A","1",100,"No damage observed",2,3,66.67
95,42.860863,-4.714969,"A","4C","A","1",400,"Abiotic damage",1,3,33.33
96,42.861046,-4.702734,"A","4",NA,NA,100,"No damage observed",12,12,100
100,42.86246,-4.604846,"A","4","A","4",100,"No damage observed",32,34,94.12
100,42.86246,-4.604846,"A","4","A","4",310,"Fungi",1,34,2.94
100,42.86246,-4.604846,"A","4","A","4",316,"Competition",1,34,2.94
102,42.86262983,-4.56755122,"A","1","A","1",100,"No damage observed",27,34,79.41
102,42.86262983,-4.56755122,"A","1","A","1",300,"Biotic damage",4,34,11.76
102,42.86262983,-4.56755122,"A","1","A","1",316,"Competition",3,34,8.82
103,42.863136,-4.555899,"A","3E","A","1",100,"No damage observed",30,38,78.95
103,42.863136,-4.555899,"A","3E","A","1",300,"Biotic damage",1,38,2.63
103,42.863136,-4.555899,"A","3E","A","1",316,"Competition",7,38,18.42
104,42.863302,-4.543662,"A","4","A","1",100,"No damage observed",31,31,100
105,42.849767,-4.849284,"A","1",NA,NA,100,"No damage observed",12,12,100
106,42.849964,-4.837051,"A","1",NA,NA,100,"No damage observed",11,11,100
