"Estadillo","lat","lng","ClaIFN3","SubclaseIFN3","ClaIFN4","SubclaseIFN4","IdDamageNFI4","DamageNFI4","TreesDamNFI4","TotalTreesNFI4","PercentageDamageNFI4"
157,42.911631,-4.275352,"A","4","A","4",200,"Unknown causes",3,59,5.08
157,42.911631,-4.275352,"A","4","A","4",316,"Competition",6,59,10.17
170,42.885025,-4.238067,"A","3E","A","1",100,"No damage observed",16,26,61.54
170,42.885025,-4.238067,"A","3E","A","1",200,"Unknown causes",3,26,11.54
170,42.885025,-4.238067,"A","3E","A","1",300,"Biotic damage",1,26,3.85
170,42.885025,-4.238067,"A","3E","A","1",313,"Epiphytic plants",1,26,3.85
170,42.885025,-4.238067,"A","3E","A","1",316,"Competition",2,26,7.69
170,42.885025,-4.238067,"A","3E","A","1",400,"Abiotic damage",1,26,3.85
170,42.885025,-4.238067,"A","3E","A","1",421,"Fire",2,26,7.69
182,42.86718041,-4.22554958,NA,NA,"A","1",100,"No damage observed",16,16,100
195,42.81307064,-4.89692111,NA,NA,"A","1",100,"No damage observed",14,14,100
196,42.813167,-4.884886,"A","3E","A","1",100,"No damage observed",19,22,86.36
196,42.813167,-4.884886,"A","3E","A","1",321,"Logging operations",3,22,13.64
197,42.795166,-4.884339,"A","4","A","1",100,"No damage observed",15,18,83.33
197,42.795166,-4.884339,"A","4","A","1",316,"Competition",3,18,16.67
199,42.777565,-4.859357,"A","3E","A","6C",100,"No damage observed",2,2,100
204,42.740962,-4.894913,"A","3E","A","1",100,"No damage observed",22,29,75.86
204,42.740962,-4.894913,"A","3E","A","1",200,"Unknown causes",6,29,20.69
204,42.740962,-4.894913,"A","3E","A","1",316,"Competition",1,29,3.45
233,42.77362686,-4.54141932,NA,NA,"A","1",100,"No damage observed",15,18,83.33
233,42.77362686,-4.54141932,NA,NA,"A","1",311,"Insects",2,18,11.11
233,42.77362686,-4.54141932,NA,NA,"A","1",322,"Human activity",1,18,5.56
239,42.764114,-4.553418,"A","4C","A","4",100,"No damage observed",42,45,93.33
239,42.764114,-4.553418,"A","4C","A","4",311,"Insects",1,45,2.22
239,42.764114,-4.553418,"A","4C","A","4",316,"Competition",2,45,4.44
246,42.754778,-4.577624,"A","4","A","1",100,"No damage observed",25,28,89.29
246,42.754778,-4.577624,"A","4","A","1",321,"Logging operations",3,28,10.71
247,42.754946,-4.565409,"A","4C","A","1",100,"No damage observed",26,31,83.87
247,42.754946,-4.565409,"A","4C","A","1",316,"Competition",3,31,9.68
247,42.754946,-4.565409,"A","4C","A","1",322,"Human activity",2,31,6.45
248,42.755112,-4.553193,"A","4C","A","4",100,"No damage observed",38,40,95
248,42.755112,-4.553193,"A","4C","A","4",316,"Competition",2,40,5
249,42.755277,-4.540977,"A","4C","A","4",100,"No damage observed",40,42,95.24
249,42.755277,-4.540977,"A","4C","A","4",316,"Competition",1,42,2.38
249,42.755277,-4.540977,"A","4C","A","4",322,"Human activity",1,42,2.38
254,42.745437,-4.601823,"A","4","A","1",100,"No damage observed",27,36,75
254,42.745437,-4.601823,"A","4","A","1",200,"Unknown causes",2,36,5.56
254,42.745437,-4.601823,"A","4","A","1",322,"Human activity",6,36,16.67
254,42.745437,-4.601823,"A","4","A","1",423,"Erosion",1,36,2.78
258,42.733536,-4.796964,"A","4","A","1",100,"No damage observed",24,35,68.57
258,42.733536,-4.796964,"A","4","A","1",200,"Unknown causes",3,35,8.57
258,42.733536,-4.796964,"A","4","A","1",300,"Biotic damage",1,35,2.86
258,42.733536,-4.796964,"A","4","A","1",311,"Insects",3,35,8.57
258,42.733536,-4.796964,"A","4","A","1",316,"Competition",2,35,5.71
258,42.733536,-4.796964,"A","4","A","1",321,"Logging operations",2,35,5.71
261,42.736774,-4.577167,"A","4C","A","1",100,"No damage observed",25,26,96.15
261,42.736774,-4.577167,"A","4C","A","1",200,"Unknown causes",1,26,3.85
262,42.736942,-4.564956,"A","4C","A","1",100,"No damage observed",35,36,97.22
262,42.736942,-4.564956,"A","4C","A","1",311,"Insects",1,36,2.78
263,42.72484493,-4.78452548,NA,NA,"A","1",100,"No damage observed",31,31,100
271,42.705953,-4.832798,"A","3E","A","1",100,"No damage observed",11,27,40.74
271,42.705953,-4.832798,"A","3E","A","1",200,"Unknown causes",14,27,51.85
271,42.705953,-4.832798,"A","3E","A","1",316,"Competition",2,27,7.41
274,42.707288,-4.747365,"A","3E","A","1",100,"No damage observed",17,18,94.44
274,42.707288,-4.747365,"A","3E","A","1",200,"Unknown causes",1,18,5.56
286,42.689655,-4.722457,"A","4","A","1",100,"No damage observed",36,40,90
286,42.689655,-4.722457,"A","4","A","1",200,"Unknown causes",1,40,2.5
286,42.689655,-4.722457,"A","4","A","1",321,"Logging operations",3,40,7.5
291,42.69218251,-4.53947652,NA,NA,"A","1",100,"No damage observed",2,5,40
291,42.69218251,-4.53947652,NA,NA,"A","1",200,"Unknown causes",3,5,60
305,42.67186295,-4.70984871,NA,NA,"A","1",100,"No damage observed",2,2,100
306,42.672197,-4.685364,"A","3E","A","1",100,"No damage observed",24,27,88.89
306,42.672197,-4.685364,"A","3E","A","1",316,"Competition",3,27,11.11
313,42.818619,-4.518085,"A","4C","A","1",100,"No damage observed",23,29,79.31
313,42.818619,-4.518085,"A","4C","A","1",200,"Unknown causes",3,29,10.34
313,42.818619,-4.518085,"A","4C","A","1",316,"Competition",3,29,10.34
325,42.764606,-4.516765,"A","4C","A","1",100,"No damage observed",19,23,82.61
325,42.764606,-4.516765,"A","4C","A","1",316,"Competition",4,23,17.39
327,42.765243,-4.467894,"A","1","A","1",100,"No damage observed",34,46,73.91
327,42.765243,-4.467894,"A","1","A","1",200,"Unknown causes",4,46,8.7
327,42.765243,-4.467894,"A","1","A","1",316,"Competition",8,46,17.39
333,42.757305,-4.382164,"A","4C","A","1",300,"Biotic damage",7,7,100
342,42.739002,-4.406191,"A","4C","A","1",100,"No damage observed",20,20,100
344,42.740299,-4.296268,"A","4","A","1",100,"No damage observed",6,70,8.57
344,42.740299,-4.296268,"A","4","A","1",311,"Insects",62,70,88.57
344,42.740299,-4.296268,"A","4","A","1",316,"Competition",2,70,2.86
355,42.702991,-4.405378,"A","4C","A","1",100,"No damage observed",1,12,8.33
355,42.702991,-4.405378,"A","4C","A","1",200,"Unknown causes",1,12,8.33
355,42.702991,-4.405378,"A","4C","A","1",311,"Insects",10,12,83.33
356,42.704489,-4.28330905,NA,NA,"A","4",100,"No damage observed",17,26,65.38
356,42.704489,-4.28330905,NA,NA,"A","4",200,"Unknown causes",4,26,15.38
356,42.704489,-4.28330905,NA,NA,"A","4",310,"Fungi",1,26,3.85
356,42.704489,-4.28330905,NA,NA,"A","4",316,"Competition",4,26,15.38
359,42.695004,-4.319741,"A","1","A","4",100,"No damage observed",11,12,91.67
359,42.695004,-4.319741,"A","1","A","4",311,"Insects",1,12,8.33
364,42.68586,-4.331754,"A","4","A","1",200,"Unknown causes",2,36,5.56
364,42.68586,-4.331754,"A","4","A","1",310,"Fungi",1,36,2.78
364,42.68586,-4.331754,"A","4","A","1",311,"Insects",31,36,86.11
364,42.68586,-4.331754,"A","4","A","1",316,"Competition",2,36,5.56
369,42.677277,-4.294957,"A","4","A","1",100,"No damage observed",8,36,22.22
369,42.677277,-4.294957,"A","4","A","1",200,"Unknown causes",1,36,2.78
369,42.677277,-4.294957,"A","4","A","1",311,"Insects",19,36,52.78
369,42.677277,-4.294957,"A","4","A","1",316,"Competition",8,36,22.22
385,42.641955,-4.891905,"A","1","A","4",100,"No damage observed",25,35,71.43
385,42.641955,-4.891905,"A","1","A","4",311,"Insects",9,35,25.71
385,42.641955,-4.891905,"A","1","A","4",321,"Logging operations",1,35,2.86
388,42.632955,-4.891632,"A","1","A","4",100,"No damage observed",14,30,46.67
388,42.632955,-4.891632,"A","1","A","4",311,"Insects",16,30,53.33
391,42.633553,-4.855063,NA,NA,"A","1",100,"No damage observed",15,31,48.39
391,42.633553,-4.855063,NA,NA,"A","1",311,"Insects",16,31,51.61
392,42.6236709,-4.89115871,NA,NA,"A","1",100,"No damage observed",22,32,68.75
392,42.6236709,-4.89115871,NA,NA,"A","1",311,"Insects",10,32,31.25
400,42.606153,-4.87863,"A","4","A","1",100,"No damage observed",5,22,22.73
400,42.606153,-4.87863,"A","4","A","1",200,"Unknown causes",1,22,4.55
400,42.606153,-4.87863,"A","4","A","1",310,"Fungi",4,22,18.18
400,42.606153,-4.87863,"A","4","A","1",311,"Insects",12,22,54.55
409,42.543148,-4.876739,"A","4","A","1",100,"No damage observed",7,40,17.5
409,42.543148,-4.876739,"A","4","A","1",200,"Unknown causes",25,40,62.5
409,42.543148,-4.876739,"A","4","A","1",311,"Insects",3,40,7.5
409,42.543148,-4.876739,"A","4","A","1",316,"Competition",5,40,12.5
410,42.543346,-4.864567,"A","4","A","1",100,"No damage observed",31,41,75.61
410,42.543346,-4.864567,"A","4","A","1",310,"Fungi",4,41,9.76
410,42.543346,-4.864567,"A","4","A","1",311,"Insects",5,41,12.2
410,42.543346,-4.864567,"A","4","A","1",316,"Competition",1,41,2.44
417,42.507342,-4.863496,"A","4","A","1",100,"No damage observed",8,34,23.53
417,42.507342,-4.863496,"A","4","A","1",311,"Insects",24,34,70.59
417,42.507342,-4.863496,"A","4","A","1",322,"Human activity",2,34,5.88
420,42.663552,-4.660727,"A","3E","A","1",100,"No damage observed",17,19,89.47
420,42.663552,-4.660727,"A","3E","A","1",200,"Unknown causes",1,19,5.26
420,42.663552,-4.660727,"A","3E","A","1",321,"Logging operations",1,19,5.26
434,42.643716,-4.782178,"A","3E","A","1",100,"No damage observed",16,27,59.26
434,42.643716,-4.782178,"A","3E","A","1",311,"Insects",10,27,37.04
434,42.643716,-4.782178,"A","3E","A","1",316,"Competition",1,27,3.7
442,42.634524,-4.794112,NA,NA,"A","1",100,"No damage observed",10,12,83.33
442,42.634524,-4.794112,NA,NA,"A","1",200,"Unknown causes",2,12,16.67
444,42.635463,-4.733158,"A","4","A","1",100,"No damage observed",30,31,96.77
444,42.635463,-4.733158,"A","4","A","1",316,"Competition",1,31,3.23
445,42.63619,-4.684392,"A","4","A","1",100,"No damage observed",2,3,66.67
445,42.63619,-4.684392,"A","4","A","1",314,"Wild fauna",1,3,33.33
448,42.638084,-4.550278,"A","4","A","1",100,"No damage observed",22,27,81.48
448,42.638084,-4.550278,"A","4","A","1",316,"Competition",5,27,18.52
449,42.625523,-4.793853,"A","4","A","1",100,"No damage observed",35,35,100
