"ID","IDmuni","Area_ha","Alimentos","Madera","Leña","Pastos","Agua","Recreativo","Caza","SedimentaEvitaEmbalses","CarbonoSupForestal","CarbonoArbolado","CarbonoMatorral","DiversidadBiologica"
"1",34003,14.6933670014846,509.033547895046,471.471567364833,16.2656954009777,21.2962851292356,5367.0023479862,8.66515915156715,53.1803205369099,117.018050474081,1871.36465861232,1841.93226968204,29.4323889302809,286.621503325148
"2",34004,8192.95091559995,190163.526137242,156291.108460473,10005.2676593761,23860.4224411241,3176852.37918263,7045.35848428228,29733.1017460202,89984.3305963639,797146.184054685,776460.116729424,20684.8325363921,224469.746566551
"3",34005,1889.50647539365,51535.8802033605,44396.4340391033,1281.79074696869,5855.24956127962,498854.901076382,686.61063370865,6863.51918021897,16413.5217744998,190113.62855059,186105.63828433,4009.72293306252,44970.6718599454
"4",34020,1173.54856011879,40129.2981676736,37168.8854074125,976.900035606947,1983.51272465413,690286.101600372,1750.85319828004,4231.69611446208,14411.3914373669,168428.848190081,165503.388279955,2918.29489867665,29425.6938319978
"5",34025,387.01747934949,13111.4309704591,11989.0763979792,335.322386224626,787.017683659061,123469.116119698,179.613157503491,1405.45406918948,3019.01585577158,47523.7820736459,46749.170133019,774.626443223179,7787.78538221663
"6",34027,2382.66518011691,25613.6687653474,13525.3135884756,5640.47223511684,6444.80768048825,1269209.64854675,3383.8839194204,8666.88789140977,32757.7527261571,164912.297451191,157061.787909602,7852.20170832561,77238.9063902508
"7",34028,757.053585184605,11290.8516505569,7500.8029211536,1809.97098423217,1980.07774517113,393245.058204215,958.977176250923,2749.78985895033,9963.24660751123,59905.2431059261,57494.4403044279,2410.69624000555,24025.6213918357
"8",34037,3810.83250513185,136732.652459536,125915.646233249,2951.13427478525,7865.87195150166,1895503.9419527,4383.46638613355,13752.6549407543,41915.3430960251,544237.724804221,535260.675000461,8960.79404713452,93572.5925801944
"9",34039,240.796313910133,1457.00142527482,110.161181091591,713.647891298226,633.192352885005,140689.222485081,368.651150452947,876.531292000833,3569.11984113577,13466.7463935317,12607.3450485373,859.401344994346,8362.64613949724
"10",34041,337.496115098976,15704.9622672186,15246.1815766158,81.9728295667042,376.807861036152,113971.663158108,155.145282408878,1217.06597876511,2175.71940970727,54768.7775543311,54259.7011659837,508.467269298934,5116.89766468877
