"ID","Estadillo","CoorX","CoorY","DANOS1N","DANOS2N","DANOS3N"
"76",363,389904,4726785,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"77",365,391912,4726792,"","","No se advierten daños"
"78",368,376882,4725806,"","","No se advierten daños"
"79",371,409896,4741812,"","","No se advierten daños"
"80",382,345937,4724840,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"81",384,345955,4723788,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"82",386,345918,4722804,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"83",398,347903,4719775,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"84",402,344928,4717802,"","","No se advierten daños"
"85",404,344906,4716775,"","Se advierten daños en las hojas de pequeña importancia causados por insectos","Se advierten daños graves en el tronco causados por fuego"
"86",407,344905,4714759,"","","No se advierten daños"
"87",411,345899,4710808,"","","No se advierten daños"
"88",412,346899,4710829,"Se advierten daños en las hojas de pequeña importancia por causas desconocidas","Se advierten daños en la guía terminal de pequeña importancia por causas desconocidas","Se advierten daños en el tronco de pequeña importancia por causas desconocidas"
"89",418,356864,4724825,"","","No se advierten daños"
"90",424,371876,4724791,"","","No se advierten daños"
"91",431,370880,4723808,"","","No se advierten daños"
"92",436,355869,4722843,"","","No se advierten daños"
"93",439,364896,4722817,"","","No se advierten daños"
"94",452,360862,4720787,"","","No se advierten daños"
"95",453,366901,4720793,"","","No se advierten daños"
"96",454,370877,4720814,"","","No se advierten daños"
"97",458,362936,4719770,"","","No se advierten daños"
"98",461,371894,4719803,"","","No se advierten daños"
"99",465,353868,4718832,"","","No se advierten daños"
"100",472,354883,4717798,"","","No se advierten daños"
"101",475,354882,4716797,"","","No se advierten daños"
"102",478,370892,4716793,"","","No se advierten daños"
"103",479,371880,4716791,"","","No se advierten daños"
"104",486,371893,4714777,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"105",490,361938,4713829,"","","No se advierten daños"
"106",495,357928,4712810,"","","No se advierten daños"
"107",499,365895,4711778,"","","No se advierten daños"
"108",504,347892,4709783,"","","No se advierten daños"
"109",508,368879,4708799,"","","Se advierten daños en las hojas de pequeña importancia por causas desconocidas"
"110",514,368910,4707768,"","","No se advierten daños"
"111",527,381904,4719769,"","","No se advierten daños"
"112",528,375897,4717807,"","","No se advierten daños"
"113",530,375915,4716812,"","","No se advierten daños"
"114",532,376914,4715806,"","","No se advierten daños"
"115",534,375886,4714758,"","","No se advierten daños"
"116",536,381923,4714793,"","","No se advierten daños"
"117",537,382949,4714815,"","","No se advierten daños"
"118",539,375907,4713789,"","","No se advierten daños"
"119",542,380917,4713787,"","","No se advierten daños"
"120",549,383915,4712820,"","","No se advierten daños"
"121",553,376886,4710778,"","","No se advierten daños"
"122",555,376889,4709803,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"123",557,375873,4708781,"","","No se advierten daños"
"124",576,345836,4697773,"","","No se advierten daños"
"125",578,346837,4696847,"","","No se advierten daños"
"126",581,347913,4706774,"","","No se advierten daños"
"127",599,347828,4694857,"","","No se advierten daños"
"128",602,347874,4692812,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"129",623,383887,4701819,"","","Se advierten daños en la corteza de importancia media causados por fuego"
"130",627,383918,4700770,"","","Se advierten daños en la corteza de importancia media causados por fuego"
