"ID","Estadillo","CoorX","CoorY","Tronco_IFN2","Ramas7_IFN2","Ramas72_IFN2","Ramas2_IFN2","Raiz_IFN2","Total_IFN2","Tronco_IFN3","Ramas7_IFN3","Ramas72_IFN3","Ramas2_IFN3","Raiz_IFN3","Total_IFN3","Tronco_IFN4","Ramas7_IFN4","Ramas72_IFN4","Ramas2_IFN4","Raiz_IFN4","Total_IFN4"
"1",109,363930,4745778,18.4402687527147,0,3.01492385014558,5.29869140767782,15.3029725846429,42.056856595181,29.7644271487272,0,5.52573911852652,5.87426022806948,19.2427160314266,60.4071425267499,44.8793706825807,0,7.9886089320122,6.28936020542758,24.2911269186347,83.4484667386552
"2",111,348850,4744750,72.0281693519157,0,8.3740197900632,14.138790322762,41.2478079449911,135.788787409732,83.8736473172541,0.00373240446403702,8.37091327038862,12.2726168621351,41.2585317608469,145.779441615089,82.2050583358965,0.136475576424921,7.30961985020388,9.18835945529707,34.8598357755383,133.699348993361
"3",113,363902,4743810,6.99994984705341,0,1.06002378403524,1.06592389852403,3.99405180207136,13.119949331684,18.7049998563158,0,3.0417281670644,3.02188616558223,11.2177573360433,35.9863715250058,37.7659067788726,0,6.13051724282939,3.33574142318898,16.8014398978378,64.0336053427288
"4",123,381873,4757828,45.6683668130714,1.13070490065412,9.50652992609273,9.31566892534002,29.4873487085014,95.1086192736596,74.0067228577334,3.60580957671248,12.7519086191666,10.8310186159386,31.946462727777,133.141922397328,119.252951269918,9.51373528215484,19.7791994742785,14.9722979925466,42.8143590893301,206.332543108228
"5",125,378901,4756814,7.54213233546536,0,1.96418581207496,2.82394185950958,6.5683666376737,18.8986266447236,19.8357016078434,0,4.15002508205584,3.53426946912188,11.6506968871908,39.1706930462119,36.8337531865174,0,7.29848829919337,4.32725436641215,17.2997212917919,65.7592171439148
"6",131,385851,4755778,23.5359522379905,2.68162705051935,3.21692840523162,3.21707904320847,17.1091824967391,49.760769233689,32.2925316726671,3.91103033163487,5.00527420571887,4.57697257997364,22.0097175031891,67.7955262931836,43.2072493666607,7.67220536818972,7.05324127905602,6.44360665668948,27.9444248277663,92.3207274983623
"7",133,377862,4754828,37.5050836297433,0.0965024326807396,9.89632037171826,8.34500576999001,24.4800614703745,80.3229736745068,62.9475766222616,0.407489151581953,13.7902689174925,10.0547790514039,30.4333344512179,117.633448193958,95.3717280107125,1.37478119158261,19.1676491103165,13.4702968295418,39.5508471148155,168.935302256969
"8",151,376861,4751808,57.4462258299242,0,13.5704806859778,9.82240116269464,32.4381717246712,113.277279403268,66.8517364877067,0,14.3956214450232,8.74014764162594,32.818436876266,122.805942450622,97.3399513557023,0,20.2898802714579,9.66006103744093,41.4417283180695,168.731620982671
"9",154,380891,4751806,0.989565005013513,0,0.320131532282135,0.636989011835555,1.14408005630297,3.09076560543417,9.00201986289808,0,2.08038358705794,3.47990373211112,8.07702562775131,22.6393328098184,21.980366589077,0,4.1418448409066,5.10090018864053,14.9878309649644,46.2109425835885
"10",160,377887,4750782,31.2914466038439,0.510877292959253,6.55585623021469,6.34433117499799,18.7704463459102,63.472957647926,50.9798244673035,2.020346564236,9.3015473094686,8.1384316268818,24.2106686272475,94.6508185951374,61.2607571344439,4.51038935586542,10.5491208817477,7.92242193483121,24.8079629512609,109.050652258149
"11",162,396931,4750791,25.0334717827478,0.124890221798749,4.35041022595821,4.31851237189168,15.1643682490018,48.9916528513982,47.3877715188501,0.494621818572484,7.69818247455496,5.90048665465,25.1988673475225,86.67992981415,72.5501850351538,1.93334299656823,11.8329882511266,8.99212513306303,36.7518627499654,132.060504165877
"12",168,398912,4749759,84.2530543250249,7.60685499710045,13.8244138269365,10.3958433058643,30.7080745522918,146.788241007218,108.693209649334,13.9402876454272,17.3259478339657,12.2693796078035,37.6019528350717,189.830777571603,133.629817549107,25.1725149024955,20.9973213258193,13.6504477316297,41.4264816198798,234.876583128931
"13",172,375895,4747785,35.9403545868627,0,8.88320492652386,6.87454656965848,20.8844111441467,72.5825172271917,62.6997323256314,0,14.5360979767739,6.43280176845504,26.4807348244371,110.149366895297,47.6323294304173,0,9.38324413724105,3.08687432036523,16.3327909261182,76.4352388141418
