"ID","Estadillo","CoorX","CoorY","IDComarca","Comarca","Municipio","IDMuni","EspacioProtegido","FiguraProteccion","MUP","tipo_prop","pertenenci","deslindado","amojonado"
"34",241,352865,4734813,3405,"Guardo","Santibáñez de la Peña",34171,"No","No","Camporredondo","Entidad Asociativa","E.L.M. de Villanueva de Arriba, E.L.M. de Villaoliva de la Peña","No","No"
"35",242,353876,4734814,3405,"Guardo","Santibáñez de la Peña",34171,"No","No","Camporredondo","Entidad Asociativa","E.L.M. de Villanueva de Arriba, E.L.M. de Villaoliva de la Peña","No","No"
"36",250,352892,4733753,3405,"Guardo","Santibáñez de la Peña",34171,"No","No","Camporredondo","Entidad Asociativa","E.L.M. de Villanueva de Arriba, E.L.M. de Villaoliva de la Peña","No","No"
"37",252,359878,4733793,3405,"Guardo","Respenda de la Peña",34151,"No","No","Abajo","E.L.M.","E.L.M. de Fontecha","No","No"
"38",255,369882,4733786,3406,"Cervera","Castrejón de la Peña",34049,"No","No","Ojascal","E.L.M.","E.L.M. de Roscales de la Peña","Sí","Sí"
"39",259,353892,4732804,3405,"Guardo","Respenda de la Peña",34151,"No","No","Pentinela y Valdemorata","E.L.M.","E.L.M. de Fontecha","Sí","Sí"
"40",260,369881,4732783,3406,"Cervera","Castrejón de la Peña",34049,"No","No","Ojascal","E.L.M.","E.L.M. de Roscales de la Peña","Sí","Sí"
"41",267,354892,4730794,3405,"Guardo","Respenda de la Peña",34151,"No","No","Pentinela y Valdemorata","E.L.M.","E.L.M. de Fontecha","Sí","Sí"
"42",277,370905,4729765,3403,"Saldaña-Valdavia","La Puebla de Valdavia",34140,"No","No","Indiviso","Ayto.","Ayto. de Congosto de Valdavia","No","No"
"43",280,356902,4728782,3403,"Saldaña-Valdavia","Congosto de Valdavia",34062,"No","No","Valdemorata y Roscales","E.L.M.","E.L.M. de Villanueva de Abajo","Sí","Sí"
"44",281,357857,4728757,3403,"Saldaña-Valdavia","Congosto de Valdavia",34062,"No","No","Valdemorata y Roscales","E.L.M.","E.L.M. de Villanueva de Abajo","Sí","Sí"
"45",283,355888,4727755,3403,"Saldaña-Valdavia","Ayuela",34020,"No","No","Bascarrión","Entidad Asociativa","Ayto. de Tabanera de Valdavia,Ayto. de Ayuela,E.L.M. de Villasur","No","No"
"46",290,367892,4727794,3403,"Saldaña-Valdavia","Congosto de Valdavia",34062,"No","No","No","No","No","No","No"
"47",293,356886,4726774,3403,"Saldaña-Valdavia","Congosto de Valdavia",34062,"No","No","Valdemorata y Roscales","E.L.M.","E.L.M. de Villanueva de Abajo","Sí","Sí"
"48",295,358886,4726778,3403,"Saldaña-Valdavia","Congosto de Valdavia",34062,"No","No","Valdemorata y Roscales","E.L.M.","E.L.M. de Villanueva de Abajo","Sí","Sí"
"49",297,361863,4726789,3403,"Saldaña-Valdavia","Buenavista de Valdavia",34037,"No","No","Santa María de la Vega","E.L.M.","E.L.M. de Cornoncillo","No","No"
"50",298,362873,4726785,3403,"Saldaña-Valdavia","Buenavista de Valdavia",34037,"No","No","Rodiles","Ayto.","Ayto. de Buenavista de Valdavia","No","No"
"51",301,355872,4725777,3403,"Saldaña-Valdavia","Ayuela",34020,"No","No","Bascarrión","Entidad Asociativa","Ayto. de Tabanera de Valdavia,Ayto. de Ayuela,E.L.M. de Villasur","No","No"
"52",303,357880,4725784,3403,"Saldaña-Valdavia","Tabanera de Valdavia",34179,"No","No","Valdemorata y Roscales","E.L.M.","E.L.M. de Villanueva de Abajo","Sí","Sí"
"53",308,363877,4725797,3403,"Saldaña-Valdavia","Buenavista de Valdavia",34037,"No","No","Rodiles","Ayto.","Ayto. de Buenavista de Valdavia","No","No"
