"Estadillo","lat","lng","ClaIFN3","SubclaseIFN3","ClaIFN4","SubclaseIFN4","SpeciesID","SpeciesName","CanopySHRNFI2","HmSHRNFI2","CanopySHRNFI3","HmSHRNFI3","CanopySHRNFI4","HmSHRNFI4"
147,42.919053,-4.410279,"A","4","A","1",102,"Erica spp.",60,15,5,3,10,4
147,42.919053,-4.410279,"A","4","A","1",103,"Other papilionoid shrubs (Ht>1.5m)",10,15,NA,NA,NA,NA
147,42.919053,-4.410279,"A","4","A","1",137,"Vaccinium myrtillus",NA,NA,20,2,30,2
147,42.919053,-4.410279,"A","4","A","1",1102,"Erica arborea",NA,NA,30,14,20,10
152,42.908962,-4.4958,"A","1",NA,NA,103,"Other papilionoid shrubs (Ht>1.5m)",5,10,NA,NA,NA,NA
152,42.908962,-4.4958,"A","1",NA,NA,115,"Viburnum spp.",20,20,2,3,NA,NA
152,42.908962,-4.4958,"A","1",NA,NA,119,"Rosa spp.",20,20,5,7,NA,NA
152,42.908962,-4.4958,"A","1",NA,NA,4104,"Cytisus spp.",NA,NA,3,5,NA,NA
157,42.911631,-4.275352,"A","4","A","4",102,"Erica spp.",30,2,10,5,NA,NA
157,42.911631,-4.275352,"A","4","A","4",103,"Other papilionoid shrubs (Ht>1.5m)",40,4,NA,NA,NA,NA
157,42.911631,-4.275352,"A","4","A","4",119,"Rosa spp.",NA,NA,5,18,NA,NA
157,42.911631,-4.275352,"A","4","A","4",121,"Rubus spp.",NA,NA,7,3,10,1
157,42.911631,-4.275352,"A","4","A","4",137,"Vaccinium myrtillus",NA,NA,6,2,NA,NA
157,42.911631,-4.275352,"A","4","A","4",1102,"Erica arborea",NA,NA,NA,NA,7,4
157,42.911631,-4.275352,"A","4","A","4",1167,"Cytisus scoparius",NA,NA,NA,NA,5,3
157,42.911631,-4.275352,"A","4","A","4",1555,"Genista florida",NA,NA,NA,NA,5,15
157,42.911631,-4.275352,"A","4","A","4",4103,"Retama spp.",NA,NA,15,38,NA,NA
159,42.899799,-4.507827,"A","1",NA,NA,102,"Erica spp.",NA,NA,3,2,NA,NA
159,42.899799,-4.507827,"A","1",NA,NA,103,"Other papilionoid shrubs (Ht>1.5m)",60,10,NA,NA,NA,NA
159,42.899799,-4.507827,"A","1",NA,NA,119,"Rosa spp.",10,5,2,3,NA,NA
159,42.899799,-4.507827,"A","1",NA,NA,4104,"Cytisus spp.",NA,NA,5,2,NA,NA
163,42.890797,-4.507608,"A","4C",NA,NA,103,"Other papilionoid shrubs (Ht>1.5m)",60,15,NA,NA,NA,NA
163,42.890797,-4.507608,"A","4C",NA,NA,4103,"Retama spp.",NA,NA,3,11,NA,NA
163,42.890797,-4.507608,"A","4C",NA,NA,4104,"Cytisus spp.",NA,NA,5,13,NA,NA
166,42.893625,-4.27498,"A","1",NA,NA,102,"Erica spp.",30,2,1,1,NA,NA
166,42.893625,-4.27498,"A","1",NA,NA,103,"Other papilionoid shrubs (Ht>1.5m)",40,7,NA,NA,NA,NA
166,42.893625,-4.27498,"A","1",NA,NA,106,"Calluna vulgaris",20,2,5,3,NA,NA
166,42.893625,-4.27498,"A","1",NA,NA,115,"Viburnum spp.",NA,NA,4,20,NA,NA
166,42.893625,-4.27498,"A","1",NA,NA,119,"Rosa spp.",NA,NA,6,25,NA,NA
166,42.893625,-4.27498,"A","1",NA,NA,144,"Lonicera spp.",NA,NA,2,2,NA,NA
166,42.893625,-4.27498,"A","1",NA,NA,4103,"Retama spp.",NA,NA,10,17,NA,NA
166,42.893625,-4.27498,"A","1",NA,NA,4104,"Cytisus spp.",NA,NA,6,9,NA,NA
169,42.882273,-4.470666,NA,NA,NA,NA,103,"Other papilionoid shrubs (Ht>1.5m)",50,10,NA,NA,NA,NA
