"Estadillo","lat","lng","ClaIFN3","SubclaseIFN3","ClaIFN4","SubclaseIFN4","YearNFI2","YearNFI3","YearNFI4","CanopyNFI2","CanopyNFI3","CanopyNFI4","NtreesNFI2","NtreesNFI3","NtreesNFI4","DeadTreesNFI2","DeadTreesNFI3","DeadTreesNFI4","HoNFI2","HoNFI3","HoNFI4","HartNFI2","HartNFI3","HartNFI4","ShannonNFI2","ShannonNFI3","ShannonNFI4","SDIR_NFI2","SDIR_NFI3","SDIR_NFI4","especie_dominanteIFN2","CompositionNFI2","especie_dominanteIFN3","CompositionNFI3","especie_dominanteIFN4","CompositionNFI4","nCD.x","StructureNFI2","nCD.y","StructureNFI3","nCD","StructureNFI4","DmNFI2","HmNFI2","SlendernessNFI2","DgNFI2","DmNFI3","HmNFI3","SlendernessNFI3","DgNFI3","DmNFI4","HmNFI4","SlendernessNFI4","DgNFI4"
60,42.89766952,-4.64260042,"A","1","A","1",91,"05/27/03 00:00:00","2019-09-22T22:00:00Z",70,70,70,17,20,25,0,4,8,11.2926446973694,12.3,12.1227105931832,49.2442468918461,47.4411407265731,32.820039971828,0,0,0.189621807649668,0.374409954975726,0.353852080974114,0.700449837730411,71,"pure",71,"pure",71,"pure",5,"Uneven-aged",6,"Uneven-aged",7,"Uneven-aged",0.258382352941176,9.76470588235294,37.7916903813318,0.265686319911725,0.2646,8.1,30.6122448979592,0.27236000991335,0.2366,9.98399991989136,42.1978018592196,0.256126921661898
62,42.887497,-4.740199,"A","4","A","1",91,"2004-10-03 00:00","2019-08-06T22:00:00Z",80,95,90,24,37,57,0,0,1,7.31830988618379,11.5707355302631,18.2928015497901,41.7902551880335,31.5084445130677,19.26548956953,0,0,0,0.392421039733043,0.562600736279166,0.783984587489366,21,"pure",21,"pure",21,"pure",3,"Uneven-aged",4,"Uneven-aged",5,"Uneven-aged",0.1398125,6.60416666666667,47.2358813887647,0.141821961451674,0.218743243243243,11.1081081081081,50.7814913201952,0.220952743510609,0.257394736842105,17.312280755294,67.2596532768809,0.260455547272972
67,42.890308,-4.544335,"A","1",NA,NA,91,"05/14/03 00:00:00",NA,70,80,NA,11,20,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.606504326359704,1.06733525579918,NA,43,"pure",43,"pure",NA,NA,4,"Uneven-aged",5,"Uneven-aged",1,"Even-aged",0.155909090909091,6.04545454545455,38.7755102040816,0.162167281757842,0.18185,11.025,60.6268902941985,0.18882359492394,NA,NA,NA,NA
68,42.87624031,-4.85072573,NA,NA,"A","1",91,"04/22/03 00:00:00","2019-09-25T22:00:00Z",20,45,50,1,NA,2,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0.0790418194723528,NA,NA,NA,NA,42,"pure",1,"Even-aged",1,"Even-aged",2,"Even-aged",NA,NA,NA,NA,NA,NA,NA,NA,0.102,3.95000004768371,38.7254906635658,0.104560986988456
70,42.878121,-4.764423,NA,NA,NA,NA,91,"04/23/03 00:00:00",NA,70,75,NA,39,55,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.64034649529551,NA,NA,21,"pure",NA,NA,NA,NA,4,"Uneven-aged",1,"Even-aged",1,"Even-aged",0.158269230769231,7.35897435897436,46.4965573106521,0.162013354150443,0.2222,12.0545454545455,54.2508796334179,0.226929224048541,NA,NA,NA,NA
71,42.878309,-4.752185,"A","1",NA,NA,91,"2005-08-03 00:00",NA,90,80,NA,45,38,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.729792983764646,0.597420818698324,NA,21,"pure",21,"pure",NA,NA,4,"Uneven-aged",4,"Uneven-aged",1,"Even-aged",0.207655555555556,12.8333333333333,61.8010594467334,0.210370876205704,0.261592105263158,14.9342105263158,57.0896836175243,0.263950715595086,NA,NA,NA,NA
73,42.878866,-4.715468,NA,NA,NA,NA,91,"04/28/03 00:00:00",NA,60,80,NA,3,20,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.0653971938559163,NA,NA,21,"pure",NA,NA,NA,NA,1,"Even-aged",1,"Even-aged",1,"Even-aged",0.0915,4.33333333333333,47.3588342440801,0.0920783181138028,0.1643,7.725,47.0176506390749,0.167145071719151,NA,NA,NA,NA
77,42.8678215,-4.8501191,NA,NA,"A","4C",91,"2004-03-03 00:00","2019-08-19T22:00:00Z",10,15,30,1,NA,7,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0.153005873236735,NA,NA,NA,NA,21,"pure",1,"Even-aged",1,"Even-aged",4,"Uneven-aged",NA,NA,NA,NA,NA,NA,NA,NA,0.176357142857143,6.7142858505249,38.0720947376868,0.18153305484126
79,42.86912,-4.764167,"A","4","A","1",91,"05/21/03 00:00:00","2019-06-30T22:00:00Z",85,80,90,24,36,51,0,0,2,8.88732414637843,12.2877934092108,18.7751806070704,34.4123869740203,28.3910601663384,19.9500591114853,0,0,0,0.428647903060656,0.589915876091398,0.711035786032008,21,"pure",21,"pure",21,"pure",3,"Uneven-aged",4,"Uneven-aged",5,"Uneven-aged",0.147333333333333,6.5625,44.5418552036199,0.149843042881543,0.213097222222222,11.75,55.1391514045493,0.215420438393802,0.26156862745098,17.7196080637913,67.7436290294871,0.264416245681675
80,42.869308,-4.75193,"A","4","A","1",91,"05/21/03 00:00:00","2019-06-30T22:00:00Z",NA,10,10,1,1,3,NA,0,1,NA,2.5,3.52272721854123,NA,733.99656613841,433.415555810447,0,0,0,NA,0.00953811207143041,0.0256008441675859,NA,NA,21,"pure",21,"pure",1,"Even-aged",1,"Even-aged",2,"Even-aged",NA,NA,NA,NA,0.1305,2.5,19.1570881226054,0.1305,0.185833333333333,3.83333325386047,20.6278022629263,0.191985459518857
