"Estadillo","lat","lng","ClaIFN3","SubclaseIFN3","ClaIFN4","SubclaseIFN4","SpeciesID","SpeciesName","NtreesNFI2","NtreesNFI3","NtreesNFI4","AgeNFI3","AgeNFI4","SPdevelopmentNFI2","SPdevelopmentNFI2name","SPdevelopmentNFI3","SPdevelopmentNFI3name","SPdevelopmentNFI4","SPdevelopmentNFI4name","Origin1NFI3","Origin1NFI3_EN","Origin2NFI3","Origin2NFI3_EN","Origin1NFI4","Origin1NFI4_EN","Origin2NFI4","Origin2NFI4_EN","SPcoverNFI2","SPcoverNFI3","SPcoverNFI4","RegenerNFI2","RegenerNFI2_EN","RegenerNFI3","RegenerNFI3_EN","RegenerNFI4","RegenerNFI4_EN"
169,42.882273,-4.470666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,42.885025,-4.238067,"A","3E","A","1","42","Quercus petraea",NA,17,16,0,0,"2","Thicket",4,"Old growth",4,"Old growth",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",30,40,40,2,"5–15 stems",NA,NA,NA,NA
170,42.885025,-4.238067,"A","3E","A","1","57","Salix spp.",NA,5,4,0,0,NA,NA,3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,10,10,3,">15 stems",NA,NA,NA,NA
170,42.885025,-4.238067,"A","3E","A","1","74","Corylus avellana",NA,2,2,0,0,NA,NA,2,"Thicket",2,"Thicket",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,30,30,NA,NA,3,">15 stems",1,"1–4 stems"
177,42.875619,-4.27461,"A","4",NA,NA,"43","Quercus pyrenaica",2,3,NA,0,NA,NA,NA,3,"Polewood",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,NA,90,NA,3,">15 stems",3,">15 stems",NA,NA
179,42.876022,-4.237887,"A","1",NA,NA,"42","Quercus petraea",1,1,NA,0,NA,NA,NA,3,"Polewood",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,NA,20,NA,1,"1–4 stems",NA,NA,NA,NA
179,42.876022,-4.237887,"A","1",NA,NA,"43","Quercus pyrenaica",25,35,NA,0,NA,"3","Polewood",3,"Polewood",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,70,70,NA,3,">15 stems",2,"5–15 stems",NA,NA
182,42.86718041,-4.22554958,NA,NA,"A","1","43","Quercus pyrenaica",NA,NA,16,0,0,NA,NA,3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,100,100,2,"5–15 stems",2,"5–15 stems",1,"1–4 stems"
183,42.854627,-4.518967,"A","4",NA,NA,"43","Quercus pyrenaica",26,30,NA,0,NA,NA,NA,3,"Polewood",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,NA,70,NA,3,">15 stems",2,"5–15 stems",NA,NA
183,42.854627,-4.518967,"A","4",NA,NA,"71","Fagus sylvatica",NA,6,NA,0,NA,NA,NA,3,"Polewood",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,NA,20,NA,NA,NA,2,"5–15 stems",NA,NA
189,42.847769,-4.347466,"A","1",NA,NA,"25","Pinus nigra",11,30,NA,25,NA,NA,NA,3,"Polewood",NA,NA,2,"Artificial","J",NA,NA,NA,NA,NA,NA,100,NA,1,"1–4 stems",NA,NA,NA,NA
